IDENTIF,RIVER,LOCATION,ERECTED,PURPOSE,LENGTH,LANES,CLEAR-G,T-OR-D,MATERIAL,SPAN,REL-L,label
E65,M,28,1915.884043,HIGHWAY,1799.576434,2,G,THROUGH,IRON,SHORT,F,3
E14,A,46,1931.213046,AQUEDUCT,1029.55473,1,G,THROUGH,IRON,SHORT,S,5
E33,A,11,1892.76624,HIGHWAY,981.595787,4,G,THROUGH,IRON,MEDIUM,F,3
E69,O,46,1925.492331,HIGHWAY,1232.482359,4,G,THROUGH,IRON,SHORT,S,4
E81,A,49,1967.641866,HIGHWAY,1016.575422,4,N,DECK,STEEL,LONG,F,2
E19,O,47,1905.252247,HIGHWAY,1128.294755,2,G,THROUGH,IRON,MEDIUM,F,3
E5,O,17,1928.832014,HIGHWAY,1892.546801,2,N,THROUGH,WOOD,MEDIUM,F,0
E14,A,31,1911.966262,HIGHWAY,1623.064887,2,G,THROUGH,STEEL,LONG,F,3
E46,A,23,1898.972763,RR,1281.014418,2,G,THROUGH,STEEL,MEDIUM,F,3
E103,A,10,1937.409324,HIGHWAY,2198.677502,4,N,DECK,WOOD,MEDIUM,F,2
E46,A,39,1852.788286,HIGHWAY,999.589456,2,N,THROUGH,WOOD,MEDIUM,S,5
E35,A,31,1829.55419,RR,950.783584,1,G,THROUGH,STEEL,MEDIUM,F,3
E15,M,35,1876.027014,RR,2682.363994,1,N,THROUGH,WOOD,MEDIUM,S,5
E37,M,23,1929.710911,HIGHWAY,1319.907219,2,G,THROUGH,STEEL,LONG,S,3
E15,A,48,1841.647723,AQUEDUCT,1538.974871,2,N,THROUGH,WOOD,MEDIUM,S,5
E53,A,30,1904.26384,HIGHWAY,1608.979259,2,G,THROUGH,STEEL,MEDIUM,S,3
E21,Y,6,1952.36972,HIGHWAY,1590.485533,2,G,THROUGH,STEEL,MEDIUM,S-F,0
E25,M,33,1967.570439,RR,1363.2289,2,G,THROUGH,STEEL,MEDIUM,F,3
E37,A,35,1911.866485,HIGHWAY,1922.214292,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E71,O,27,1903.925768,HIGHWAY,1772.994715,2,G,THROUGH,STEEL,LONG,S-F,1
E2,M,36,1925.327115,RR,969.310883,2,G,THROUGH,STEEL,LONG,F,1
E105,M,15,1927.899215,RR,926.604237,2,N,THROUGH,STEEL,LONG,F,2
E108,M,40,1843.273014,HIGHWAY,938.28941,4,G,DECK,STEEL,LONG,F,2
E52,Y,19,1893.951598,HIGHWAY,834.502752,2,G,THROUGH,STEEL,LONG,F,1
E76,M,12,1906.025061,HIGHWAY,1639.541152,2,G,THROUGH,IRON,SHORT,F,3
E49,M,14,1957.485071,RR,1824.152509,2,G,THROUGH,STEEL,LONG,F,3
E84,A,34,1882.271105,RR,1811.941321,2,G,THROUGH,IRON,SHORT,F,3
E58,M,9,1889.06928,HIGHWAY,1494.279034,2,G,THROUGH,STEEL,MEDIUM,F,3
E86,Y,2,1930.107871,HIGHWAY,1438.490875,4,G,DECK,STEEL,LONG,F,2
E12,A,37,1836.752145,WALK,875.579343,2,G,THROUGH,STEEL,SHORT,S,4
E57,M,8,1951.242616,HIGHWAY,1788.43296,2,G,THROUGH,STEEL,SHORT,F,3
E24,A,29,1828.528625,AQUEDUCT,1010.252915,2,N,THROUGH,WOOD,MEDIUM,S,5
E57,Y,24,1923.868943,HIGHWAY,950.660458,4,N,DECK,STEEL,MEDIUM,F,2
E101,O,43,1962.714036,RR,998.357829,2,G,THROUGH,STEEL,MEDIUM,S,3
E95,M,6,1952.299277,HIGHWAY,3526.213066,4,G,DECK,WOOD,MEDIUM,F,2
E64,O,51,1907.373261,RR,1283.633208,4,G,THROUGH,STEEL,MEDIUM,S,0
E40,O,44,1906.463103,RR,1866.228266,2,G,THROUGH,STEEL,MEDIUM,F,3
E78,A,5,1931.267283,HIGHWAY,2807.810742,2,G,THROUGH,STEEL,LONG,F,0
E26,A,10,1865.05759,HIGHWAY,3997.881891,2,N,THROUGH,IRON,LONG,F,4
E5,A,6,1845.843005,HIGHWAY,926.821996,1,N,THROUGH,IRON,SHORT,S,4
E64,O,48,1928.195489,HIGHWAY,2117.548873,4,G,THROUGH,IRON,SHORT,S-F,0
E19,A,24,1933.950568,HIGHWAY,1878.628431,2,N,THROUGH,IRON,MEDIUM,S,3
E13,O,19,1928.231633,HIGHWAY,1664.30921,4,G,DECK,STEEL,MEDIUM,S,1
E97,A,16,1967.46692,WALK,3464.541105,2,G,THROUGH,STEEL,LONG,F,1
E10,A,39,1990.960756,RR,1797.213274,2,G,THROUGH,STEEL,MEDIUM,F,3
E33,O,14,1840.518727,RR,1059.590596,2,N,THROUGH,IRON,MEDIUM,F,3
E101,O,36,1957.036164,RR,841.729412,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E50,A,31,1904.621083,RR,1226.319475,2,N,THROUGH,IRON,SHORT,F,3
E44,O,43,1927.327612,HIGHWAY,1408.321796,2,G,THROUGH,STEEL,MEDIUM,S-F,4
E100,A,29,1850.488461,HIGHWAY,963.337099,2,N,THROUGH,WOOD,MEDIUM,S,5
E46,A,31,1907.144874,HIGHWAY,1468.971096,2,G,THROUGH,IRON,MEDIUM,F,3
E34,O,43,1893.604791,HIGHWAY,1570.168267,2,G,DECK,IRON,MEDIUM,F,3
E82,M,28,1931.839713,WALK,2144.11099,4,G,DECK,STEEL,SHORT,F,1
E48,M,20,1894.654924,RR,1224.316373,2,G,THROUGH,STEEL,MEDIUM,F,3
E96,M,44,1895.620133,HIGHWAY,3465.745411,2,G,THROUGH,STEEL,MEDIUM,S,3
E38,O,35,1928.176356,HIGHWAY,1494.238017,2,G,THROUGH,STEEL,MEDIUM,S-F,4
E92,A,21,1869.422638,HIGHWAY,1553.511812,2,N,THROUGH,WOOD,MEDIUM,S,5
E10,A,7,1818.141868,AQUEDUCT,1108.866206,2,N,THROUGH,WOOD,MEDIUM,S,5
E83,M,35,1934.260208,RR,1243.596793,2,G,THROUGH,STEEL,MEDIUM,F,3
E94,A,31,1931.387941,HIGHWAY,3130.569732,2,G,THROUGH,STEEL,LONG,F,3
E62,A,15,1968.823953,HIGHWAY,2352.733052,2,G,THROUGH,STEEL,LONG,F,3
E45,O,24,1928.186949,HIGHWAY,3104.284512,4,N,DECK,STEEL,MEDIUM,S-F,2
E97,O,48,1844.486352,HIGHWAY,1023.23218,4,N,THROUGH,IRON,MEDIUM,S-F,4
E67,M,3,1928.44621,HIGHWAY,1260.927668,4,G,THROUGH,STEEL,LONG,F,4
E52,O,41,1899.551636,HIGHWAY,1468.253069,2,G,THROUGH,STEEL,MEDIUM,F,3
E39,O,38,1881.311326,RR,1168.1333,2,G,THROUGH,STEEL,MEDIUM,F,3
E32,M,42,1903.245534,HIGHWAY,2163.924536,2,G,THROUGH,IRON,MEDIUM,F,3
E43,A,23,1877.953019,WALK,1073.357064,2,G,THROUGH,STEEL,MEDIUM,F,4
E32,O,52,1888.895631,HIGHWAY,928.827616,2,G,THROUGH,STEEL,MEDIUM,F,3
E63,O,48,1886.215815,HIGHWAY,1929.105117,4,G,DECK,STEEL,MEDIUM,S-F,1
E75,M,46,1884.195493,HIGHWAY,2541.33191,2,G,THROUGH,STEEL,MEDIUM,F,3
E92,Y,45,1957.338006,HIGHWAY,2669.126656,2,G,THROUGH,STEEL,LONG,F,3
E16,A,18,1881.907449,HIGHWAY,1277.029683,6,G,THROUGH,STEEL,LONG,F,0
E31,O,36,1884.02527,RR,1312.565071,2,G,THROUGH,STEEL,MEDIUM,S,3
E64,A,40,1849.851014,RR,1558.923772,2,N,THROUGH,WOOD,MEDIUM,S,5
E6,M,46,1823.864826,HIGHWAY,1155.549581,1,N,THROUGH,WOOD,MEDIUM,S-F,5
E107N,M,21,1908.462285,HIGHWAY,1063.913379,2,G,THROUGH,IRON,LONG,F,3
E87,O,43,1909.110788,RR,1785.711924,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E27,M,38.5,1904.173497,HIGHWAY,857.906163,4,G,THROUGH,WOOD,SHORT,S,2
E74,O,23,1887.512417,HIGHWAY,1067.206401,2,G,THROUGH,STEEL,LONG,F,3
E10,O,38,1888.053477,HIGHWAY,1684.188342,2,G,THROUGH,STEEL,MEDIUM,F,3
E95,O,5,1895.581314,RR,1672.938068,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E36,O,45,1832.892721,RR,910.934354,2,G,THROUGH,STEEL,LONG,F,1
E83,Y,3,1902.796043,HIGHWAY,1222.39666,2,G,THROUGH,STEEL,MEDIUM,F,3
E59,A,39,1895.879606,RR,1937.952323,4,N,THROUGH,WOOD,SHORT,F,5
E49,M,22,1848.056979,RR,781.557134,2,N,THROUGH,IRON,MEDIUM,F,3
E7,A,39,1866.978616,HIGHWAY,1038.12083,2,G,THROUGH,WOOD,SHORT,S,5
E65,M,16,1922.985789,HIGHWAY,851.187354,4,G,THROUGH,STEEL,LONG,F,1
E7,M,25,1970.6358,HIGHWAY,1661.48722,1,G,DECK,STEEL,MEDIUM,S-F,2
E76,A,47,1876.056933,WALK,2106.216815,1,N,THROUGH,IRON,MEDIUM,S-F,4
E94,M,33,1891.261933,RR,2567.129368,2,G,THROUGH,STEEL,LONG,F,3
E28,A,17,1936.877276,HIGHWAY,895.758871,6,N,THROUGH,IRON,SHORT,S,0
E31,O,36,1900.90192,RR,1573.189452,2,N,DECK,IRON,LONG,F,1
E16,A,24,1928.021522,HIGHWAY,910.473146,6,G,THROUGH,STEEL,LONG,F,4
E43,M,24,1851.274234,HIGHWAY,1250.751273,2,N,THROUGH,IRON,MEDIUM,F,3
E77,A,52,1870.725546,HIGHWAY,1747.434649,2,N,THROUGH,WOOD,MEDIUM,S,5
E102,A,44,1924.527974,HIGHWAY,2224.430232,6,G,THROUGH,STEEL,MEDIUM,F,0
E11,A,35,1875.573423,RR,3687.544112,2,N,THROUGH,WOOD,MEDIUM,S,5
E17,A,32,1863.632477,AQUEDUCT,2753.451006,2,N,DECK,WOOD,LONG,F,5
E5,A,39,1840.496895,AQUEDUCT,2427.872386,2,G,THROUGH,WOOD,MEDIUM,S,5
E69,A,27,1970.585487,RR,1511.878337,2,G,DECK,STEEL,SHORT,F,3
E48,A,29,1907.583905,HIGHWAY,936.599853,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E66,A,30,1927.144808,HIGHWAY,1034.248185,2,G,THROUGH,STEEL,LONG,F,4
E31,M,6,1913.935943,RR,1116.031953,4,G,THROUGH,STEEL,MEDIUM,F,3
E100,M,15,1905.640917,RR,1482.679429,2,G,THROUGH,STEEL,MEDIUM,S,3
E86,O,24,1903.310774,RR,3101.446277,4,G,THROUGH,STEEL,LONG,F,1
E101,M,4,1884.79433,HIGHWAY,1455.570011,2,G,THROUGH,STEEL,MEDIUM,F,3
E60,M,17,1905.304643,HIGHWAY,1278.35387,2,G,THROUGH,STEEL,LONG,F,3
E11,A,23,1894.692489,HIGHWAY,3084.115628,4,N,DECK,IRON,MEDIUM,S,2
E90,O,38.5,1975.866351,HIGHWAY,2935.168857,6,G,THROUGH,STEEL,LONG,F,0
E73,M,6,1848.662855,HIGHWAY,2346.864838,2,G,THROUGH,STEEL,MEDIUM,F,3
E51,A,33,1901.951338,RR,1416.227326,2,G,THROUGH,STEEL,MEDIUM,F,3
E17,M,28,1914.078315,HIGHWAY,1513.289353,2,G,THROUGH,STEEL,MEDIUM,F,3
E60,A,14,1954.32096,WALK,965.289645,2,G,THROUGH,STEEL,MEDIUM,S-F,2
E109,M,9,1881.683856,RR,1161.415964,2,G,THROUGH,IRON,SHORT,S,3
E91,M,42,1927.336306,HIGHWAY,1722.492592,4,N,THROUGH,STEEL,LONG,S-F,1
E74,A,23,1924.288237,HIGHWAY,1849.964129,2,G,THROUGH,STEEL,LONG,F,1
E36,O,46,1930.60535,HIGHWAY,1582.912672,2,G,DECK,STEEL,MEDIUM,S-F,1
E33,A,1,1903.50124,RR,1867.978468,2,G,THROUGH,STEEL,MEDIUM,F,3
E23,M,8,1853.425227,HIGHWAY,1378.809837,2,G,THROUGH,STEEL,MEDIUM,S,4
E42,A,34,1863.401615,HIGHWAY,941.65407,2,N,DECK,WOOD,SHORT,S,5
E68,M,52,1929.594147,HIGHWAY,2595.583994,6,G,THROUGH,IRON,SHORT,S,0
E73,M,5,1845.965094,HIGHWAY,3794.830255,4,N,THROUGH,STEEL,LONG,F,0
E87,A,46,1902.195693,HIGHWAY,833.205005,4,N,THROUGH,STEEL,MEDIUM,F,0
E36,A,29,1852.90211,RR,1761.410387,4,N,THROUGH,WOOD,SHORT,S,5
E46,M,11,1923.527112,HIGHWAY,1041.018811,4,N,THROUGH,IRON,LONG,F,0
E12,M,45,1962.691275,HIGHWAY,1644.372523,2,G,THROUGH,IRON,LONG,S,5
E74,A,4,1893.698265,HIGHWAY,1694.464607,2,G,THROUGH,STEEL,LONG,F,3
E99,O,32,1888.245003,HIGHWAY,1607.274943,2,G,THROUGH,STEEL,MEDIUM,F,3
E28,A,5,1942.725462,RR,3629.870629,4,G,DECK,STEEL,MEDIUM,F,2
E55,A,39,1911.558931,HIGHWAY,927.1387,2,G,THROUGH,STEEL,LONG,F,3
E55,A,25,1881.778663,HIGHWAY,875.164275,4,G,THROUGH,STEEL,LONG,S-F,4
E50,M,19,1929.44995,HIGHWAY,1242.362017,4,G,THROUGH,STEEL,LONG,F,4
E96,A,39,1893.122513,RR,2852.14426,2,G,THROUGH,STEEL,LONG,F,3
E95,O,24,1963.195846,HIGHWAY,1190.075873,4,G,THROUGH,STEEL,MEDIUM,S-F,2
E77,M,49,1955.531907,HIGHWAY,1991.001174,2,G,THROUGH,STEEL,MEDIUM,S,0
E42,A,27,1900.389399,RR,1256.844827,2,G,THROUGH,STEEL,MEDIUM,S,3
E32,M,34,1924.182783,WALK,1007.141155,4,G,THROUGH,STEEL,LONG,F,0
E95,M,7,1848.922803,HIGHWAY,874.766923,4,N,THROUGH,WOOD,MEDIUM,S-F,4
E109,Y,38,1877.98603,HIGHWAY,1273.134513,4,G,THROUGH,STEEL,LONG,F,3
E3,A,24,1871.795897,HIGHWAY,1007.853073,1,N,THROUGH,WOOD,MEDIUM,S,5
E15,A,9,1881.484142,HIGHWAY,984.148054,2,G,THROUGH,IRON,MEDIUM,F,3
E89,O,22,1880.728257,HIGHWAY,880.600552,1,G,DECK,STEEL,MEDIUM,S-F,4
E71,A,52,1883.097568,AQUEDUCT,1262.618857,1,N,THROUGH,WOOD,MEDIUM,S,5
E46,O,37,1906.129115,RR,3152.513328,2,G,THROUGH,STEEL,LONG,F,3
E56,O,13,1960.053478,HIGHWAY,1321.517483,4,G,DECK,STEEL,MEDIUM,S,0
E29,A,11,1933.46119,HIGHWAY,1002.273209,4,G,THROUGH,STEEL,MEDIUM,F,4
E20,A,11,1903.356627,HIGHWAY,1268.886789,2,G,THROUGH,STEEL,MEDIUM,F,3
E22,A,37,1848.081366,HIGHWAY,980.005931,2,N,DECK,WOOD,MEDIUM,S,5
E31,A,33,1882.619498,HIGHWAY,791.402067,2,G,THROUGH,STEEL,MEDIUM,S-F,4
E17,M,13,1889.370126,RR,1071.164186,2,G,THROUGH,IRON,SHORT,S,3
E4,A,29,1896.686572,HIGHWAY,1094.44805,2,G,THROUGH,IRON,MEDIUM,S,5
E52,A,30,1926.658985,HIGHWAY,1744.341775,2,G,THROUGH,STEEL,MEDIUM,F,3
E42,M,18,1888.243745,RR,950.757011,2,G,THROUGH,STEEL,LONG,F,3
E99,A,2,1897.37967,HIGHWAY,1724.47009,2,G,THROUGH,IRON,MEDIUM,F,3
E69,M,42,1914.325293,HIGHWAY,1950.814466,2,G,THROUGH,STEEL,LONG,F,3
E72,M,35,1898.81548,HIGHWAY,1631.621589,2,G,THROUGH,STEEL,MEDIUM,F,4
E62,A,2,1964.422124,HIGHWAY,1267.969123,1,N,DECK,STEEL,MEDIUM,S-F,2
E62,O,10,1925.239652,RR,2861.44358,2,G,THROUGH,STEEL,MEDIUM,F,3
E65,A,46,1927.758557,HIGHWAY,1266.551533,2,G,DECK,STEEL,SHORT,S-F,2
E6,M,13,1917.481893,WALK,1739.543482,6,G,THROUGH,STEEL,MEDIUM,F,4
E92,A,17,1941.457537,HIGHWAY,880.900015,4,N,DECK,WOOD,LONG,F,2
E5,O,9,1904.598574,HIGHWAY,1841.55099,4,G,DECK,STEEL,MEDIUM,F,1
E49,A,19,1957.624733,HIGHWAY,1178.908266,2,G,THROUGH,STEEL,LONG,F,1
E102,M,1,1858.987496,HIGHWAY,1327.827119,4,N,THROUGH,IRON,MEDIUM,S-F,4
E65,A,49,1925.687429,HIGHWAY,962.92134,2,G,THROUGH,WOOD,MEDIUM,S-F,4
E25,O,48,1944.444336,RR,1299.553895,2,G,THROUGH,STEEL,MEDIUM,S,3
E92,A,39,1847.539989,AQUEDUCT,911.716704,4,N,THROUGH,WOOD,MEDIUM,S,5
E17,O,44,1925.833477,HIGHWAY,1525.975894,2,G,THROUGH,STEEL,MEDIUM,F,4
E96,M,8,1888.344084,RR,2975.216011,2,G,THROUGH,STEEL,LONG,F,3
E92,O,41,1963.922869,HIGHWAY,1786.614542,2,G,THROUGH,STEEL,MEDIUM,F,3
E80,O,22,1969.270064,AQUEDUCT,1055.189881,4,G,DECK,STEEL,LONG,S-F,2
E20,M,7,1947.216454,HIGHWAY,4027.048684,4,G,DECK,STEEL,LONG,F,2
E52,A,33,1847.401627,HIGHWAY,1029.276368,2,N,THROUGH,WOOD,MEDIUM,S,5
E1,O,42,1906.150196,RR,886.227446,2,G,THROUGH,STEEL,MEDIUM,F,3
E39,A,51,1915.824607,HIGHWAY,982.425237,2,G,THROUGH,IRON,MEDIUM,S,5
E16,A,31,1969.479771,HIGHWAY,1821.010264,2,G,THROUGH,STEEL,MEDIUM,S,3
E79,A,26,1844.78129,AQUEDUCT,1473.291738,2,N,THROUGH,STEEL,MEDIUM,S,5
E76,M,18,1847.270458,RR,1773.937756,2,G,DECK,STEEL,LONG,F,3
E3,A,4,1858.81263,AQUEDUCT,1700.448608,2,G,THROUGH,STEEL,LONG,F,5
E57,M,19,1864.641047,HIGHWAY,1653.720304,2,N,THROUGH,IRON,SHORT,S,4
E89,A,27,1920.432085,RR,2875.821401,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E18,M,18,1888.306566,RR,1165.158246,2,G,THROUGH,STEEL,LONG,F,3
E57,M,9,1915.630322,HIGHWAY,1756.067825,2,G,THROUGH,IRON,MEDIUM,F,3
E30,A,29,1951.750157,RR,2090.279304,2,G,THROUGH,STEEL,MEDIUM,F,3
E80,A,30,1888.61219,HIGHWAY,1948.760983,2,G,THROUGH,STEEL,LONG,F,0
E31,A,39,1814.369829,HIGHWAY,1004.976153,2,G,DECK,WOOD,SHORT,S,5
E31,M,8,1903.864471,HIGHWAY,1264.058949,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E46,M,22,1893.525621,RR,1245.925136,2,G,THROUGH,STEEL,MEDIUM,F,3
E89,M,32,1917.059637,HIGHWAY,1002.811075,2,G,THROUGH,STEEL,MEDIUM,S,0
E99,M,18,1888.324614,HIGHWAY,1215.558144,2,G,THROUGH,STEEL,LONG,F,3
E66,A,24,1944.522195,HIGHWAY,2602.370596,2,G,THROUGH,WOOD,LONG,F,0
E6,M,37,1820.000887,HIGHWAY,1253.970469,2,N,THROUGH,WOOD,LONG,F,5
E9,A,21,1917.983773,RR,942.512314,4,G,DECK,STEEL,MEDIUM,S-F,1
E91,M,14,1902.317665,RR,1182.099274,2,G,THROUGH,STEEL,MEDIUM,F,3
E20,A,6,1825.171834,HIGHWAY,1026.378551,6,N,THROUGH,WOOD,MEDIUM,S,5
E32,M,8,1884.284767,RR,1900.994525,2,G,DECK,STEEL,SHORT,F,3
E61,A,3,1897.254902,RR,2589.4598,2,G,THROUGH,STEEL,MEDIUM,F,3
E92,A,7,1858.198305,HIGHWAY,1031.619325,6,N,DECK,WOOD,MEDIUM,S,5
E98,O,48,1883.201323,HIGHWAY,1501.506412,2,G,THROUGH,STEEL,SHORT,S,5
E41,A,5,1878.414138,RR,2883.200219,2,G,THROUGH,STEEL,MEDIUM,F,3
E11,A,12,1865.810133,AQUEDUCT,881.108407,2,N,THROUGH,WOOD,MEDIUM,S,5
E54,M,48,1909.076074,HIGHWAY,3848.629643,2,G,THROUGH,STEEL,MEDIUM,F,3
E2,A,32,1859.228328,HIGHWAY,1157.779196,2,N,THROUGH,WOOD,MEDIUM,S,5
E67,M,4,1924.028217,HIGHWAY,935.933537,2,G,THROUGH,STEEL,MEDIUM,S-F,4
E87,M,19,1922.96149,RR,1760.480499,4,G,DECK,STEEL,MEDIUM,S-F,1
E107,A,9,1890.501889,HIGHWAY,1983.703909,2,N,THROUGH,WOOD,MEDIUM,S,5
E82,O,20,1892.375204,RR,2919.312241,2,G,THROUGH,STEEL,MEDIUM,F,3
E86,M,6,1924.363261,HIGHWAY,908.342544,2,G,THROUGH,STEEL,SHORT,S,4
E11,A,27,1855.704175,HIGHWAY,1895.419355,2,N,THROUGH,STEEL,LONG,F,1
E61,A,20,1957.08328,RR,935.492545,2,G,THROUGH,STEEL,MEDIUM,F,3
E57,A,33,1895.999465,HIGHWAY,1487.343911,2,G,THROUGH,STEEL,MEDIUM,S,3
