history,session,label
41,setenv <2> cd <1> ls vi <1> ls vi <1> ls vi <1> ls lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> ls cancel -u <2> lp -dmsl22 <1> lp -dmsl22 <1> lpq -Pmsl22 lpq -Pmsl23 cancel -u <2> lpq -Pmsl22 lwinfo <1> lwpages cancel -u <2> vi <1> lp -dmsl23 <1> cancel -u <2> lpq -Pmsl23 lpq -Pmsl22 lpq -Pmsl21 lwpages lp -dmsl21 <1> cancel -u <4> > <1> <GENSYM:1> <1> cancel -u <2> lpinfo <1> lwinfo <1> ls more <1> ls ll date rm <1> lwpages ls vi <1> lp -dmsl21 <1> vi <1> ls vi <1> ls cd <1> ls cd <1> ls vi <1> vi <1> ls back lwinfo <1> ls cd <1> cd <1> cd <1> ls vi <1> lp -dmsl21 <1> lpq -Pmsl21 ghostview <1>,0
42,elm lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lpq -Pmsl23 cancel -u <2> cancel -uclin <1> lpq -Pmsl22 lpq -Pmsl23 cancel -u cancel -u <1> man <1> ls lpq -Pmsl23 cancel <2> cd <1> ls vi <1> ls lwpages <1> lwinfo <1> lwinfo <1> lwpages ls vi <1> lp -dmsl21 <1> cd <1> ls ll ll <1> more <1> vi <1> ll <1> vi <1> lwinfo <1> ls lwinfo <1> vi <1> lwinfo <1> back back lp -dmsl21 <1> back lp -dmsl21 <1> back lwpages ls rm <1> rm <1> lp -dmsl21 -n9 <1> lpq -Pmsl21 lwinfo <1> lpq -Pmsl21 lpq -Pmsl22 finger <1> cls ls cd <1> ls cd <1> ls mv <2> vi <1> ls fg lwinfo <1> lwpages back cd <1> ls lp -dmsl21 -n2 <1> fg,0
43,setenv <2> ls cd <1> maker ls ls ls ls vi <1>,0
44,finger <1> finger <1> ls vi <1> jarman jarman finger <1> exit,0
45,jarman elm finger <1> cd <1> ls dodo ls vi <1> vi <1> diff <2> ls mv <2> fg cd <1> cd <1> ls cd <1> cd <1> ls cd <1> cd <1> ls cd <1> ls cd <1> cd <1> ls <1> cd <1> cd <1> ls cd cd <1> cd fg log,0
46,vi <1> finger <1> | more exit,0
47,elm finger <1> logout,0
48,elm,0
49,elm logout,0
50,elm fg finger <1> finger <1> finger <1> fg finger <1> rloign <1> rlogin <1> ls ll <1> rm <1> rm <1> ls more <1> rm <1> fg ext exit,0
51,finger <1> finger <1> ftp <1> finger <1> finger <1> finger <1> exit,0
52,exit,0
53,elm exit,0
54,elm exit,0
55,elm exit,0
56,more <1> more <1> finger <1> cd <1> ls cp <2> emacs <1> <GENSYM:0>/vi <1> exit,0
57,elm r <1> exit,0
58,elm logout,0
59,elm,0
60,elm ls cd <1> ls vi <1> <GENSYM:0>/vi <1> dodo <GENSYM:0>/vi <1> ls more <1> ls fg elm logout,0
61,elm r <1> exit,0
62,elm,0
63,cd <1> ls lwinfo <1> lp -dmsl23 <1> lpq -Pmsl23 lp -dmsl21 <1> lpq -Pmsl23 lpq -Pmsl21 ftp <1> ruptime uptime ruptime | more wc <1> more <1>,0
64,lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwpages quit exit,0
65,elm elm vi <1> finger <1> finger <1> elm elm uptime uptime uptime uptime vi <1> exit,0
66,uptime elm elm ls rm <1> cd <1> ls vi <1>,0
67,elm finger <1> ps -ef | grep <1> ps -aux | grep <1> kill <1> kill <1> kill <1> finger <1> elm rm <1> elm cd <1> ls more <1> cd fg,0
68,elm rm <1> elm,0
69,ls alias <1> alias <1> alias alias | more lwinfo <1> enscript_msl21 <1> alias <1> rm <1> rm <1> ruptime ruptime | more finger <1> finger <1> ls,0
70,elm ls rm <1> rm <1> vi <1> ls rm <2> ls finger <1> mail <1> finger <1> rlogin <1> elm finger <1> date last <1> r <1> cd <1> ls vi <1> ls vi <1> fg vi <1> ls ll cp <2> vi <1> exit fg finger <1> finger <1> exit,0
71,ping <1> mail <1> date finger <1> exit,0
72,elm cd <1> ls vi <1> finger <1> finger <1> exit,0
73,elm exit,0
74,ping <1> rlogin <1> finger <1> finger <1> exit,0
75,elm exit,0
76,elm vi <1> rm <1> fg finger <1> fg r <1> exit,0
77,finger <1> rlogin <1> exit,0
78,elm finger <1> exit,0
79,setenv <2> ls cd <1> ls cd <1> ls vi <1> vi <1> & more <1> maker exit,0
80,finger <1> exit,0
81,elm cd <1> ls vi <1> exit,0
82,cd <1> ls lp -d <1> lp -d <2>,0
83,setenv <2> cd <1> ls vi <1> exit,0
84,elm exit,0
85,rlogin <1>,0
86,elm cd <1> ls vi <1> vi <1> fg,0
87,elm rlogin <1> fg rlogin <1> fg finger <1> date exit,0
88,elm elm finger <1> exit,0
89,elm,0
90,elm cd <1> ls vi <1> fg exit,0
91,ls cd <1> ls vi <1> ls vi <1> exit,0
92,finger <1> finger <1> finger <1> logout,0
93,finger <1> elm exit,0
94,ls cd <1> ls vi <1> exit,0
95,cd <1> ls more <1> exit,0
96,elm exit,0
97,elm exit,0
98,ls cd <1> ls vi <1> exit,0
99,elm finger <1> exit,0
100,r <1> elm lwinfo <1> fg,0
101,elm exit,0
102,elm exit,0
103,rlogin <1> exit,0
104,exit,0
105,elm exit,0
106,exit,0
107,elm exit,0
108,elm man <1> vacatin vacation vacation rm <1> vacation rm <1> elm fg ls exit,0
109,elm finger <1> exit,0
110,elm elm finger <1> finger <1> finger <1> finger <1> inger <1> r -l <2> exit,0
111,elm elm logout,0
112,elm exit,0
113,elm finger <1> fg,0
114,elm exit,0
115,elm exit,0
116,cd <1> ls more <1>,0
117,elm logout,0
118,elm finger <1> exit,0
119,cd <1> ls cp <2> vi <1> exit,0
120,elm exit,0
121,elm,0
122,vi <1> vi <1> vi <1> ph <2> finger <1> finger <1> finger <1> finger <1> finger <1> lname <2> lname <1> | grep <1> finger <1> finger <1> ping <1> finger <1> finger <1> finger <1> date exit,0
123,ls cd cd <1> pwd alias source <1> cd source <1> exit,0
124,elm finger <1> g fg exit,0
125,source <1> source <1> source <1> elm ls cd <1> vi <1> chmod <2> vi <1> cd terran_data $PATH terran_data vi <1> <GENSYM:2>/terran_data ll <1> ll cd <1> ls vi <1> rm -f <1> rm -f <1> mv <2> mkdir <1> cd <1> tar <3> ls cd <1> ls unrm -l unrm <1> unrm -l | more ls cd <1> ls fg exit,0
126,source <1> source <1> cd <1> ls unrm -l unrm -l | more cd elm,0
127,source <1> source <1> unrm -l ls <1> ls <1> exit,0
128,source <1> source <1> source <1> elm exit,0
129,source <1> source <1> ls cd <1> ls vi <1> cp <2> ls <GENSYM:0>/winnow <GENSYM:0>/vi <1> setenv <2> maker ls mv <2> cat <1> cd elm,0
130,source <1> source <1> elm finger <1> fg finger <1> finger <1> fg cd <1> ls vi <1> vi <1> fg exit,0
131,source <1> source <1> elm elm finger <1> exit,0
132,source <1> source <1> elm finger <1> finger <1> finger <1> fg ls cd <1> ls <GENSYM:0>/vi <1> fg,0
133,source <1> source <1> ps -aux | grep <1> kill -9 <1> kill -9 <1> elm rm <1> elm,0
134,elm rlogin <1> lm elm exit,0
135,source <1> source <1> ls cd <1> ls vi <1> ls more <1> more <1> <GENSYM:0>/vi <1> exit,0
136,source <1> source <1> elm date elm ls cd <1> ls fg cd fg exit,0
137,source <1> source <1> elm cd <1> ls <GENSYM:0>/vi <1> setenv <2> maker ls cat <1> <GENSYM:0>/vi <1> exit,0
138,source <1> source <1> elm finger <1> finger <1> finger <1> r <1> exit,0
139,source <1> source <1> elm date finger <1> finger <1> exit,0
140,ls env vi <1> logout,0
141,source <1> more <1> source <1> ls vi <1> logout,0
142,logout,0
143,logout,0
144,logout,0
145,logout,0
146,logout,0
147,elm cls lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwpages mail <1> rm <1> unrm <1> ls cd <1> ls cd quota -v more <1> rm <1> ls more <1> rm <1> ls finger <1> r <1> exit,0
148,elm finger <1> vi <1> elm elm exit,0
149,finger <1> date finger <1> finger <1> elm exit,0
150,elm cd <1> ls cp <2> vi <1> cd finger <1> fg exit,0
151,elm,0
152,elm finger <1> fg finger <1> fg finger <1> finger <1> finger <1> fg ping <1> fg cd <1> vi <1> <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> fg exit,0
153,finger <1> elm finger <1> r <1> exit,0
154,elm ping <1> finger <1> finger <1> finger <1> rlogin <1> cls fg cd <1> ls vi <1> exit,0
155,elm,0
156,ping <1> elm finger <1> rloin -l <2> rlogin -l <2> fg rlogin -l <2> g fg finger <1> fg finger <1> fg,0
157,elm ps -aux | grep <1> kill -9 <1> rm <1> elm finger <1> finger <1> finger <1> fg finger <1> fg ls rm -ri <1> rm -rf <1> rm <1> findfile findfile <1> cd <1> more <1> ls cd <1> cd <1> ls ll <1> cd <1> cd ls,0
158,finger <1> exit,0
159,ls cd <1> ls more <1> cd more <1> rm <1> ls more <1> ls exit,0
160,elm ls cd <1> ls vi <1> cd fg fg elm weather fg exit,0
161,elm cd <1> <GENSYM:0>/vi <1> cd <1> ls more <1> cd fg back ls vi <1> exit,0
162,elm,0
163,ls finger <1> mail <2> finger <1> finger <1> finger <1> finger <1> finger <1> finger <1> exit,0
164,mail <1> exit,0
165,f <1> f <1> elm,0
166,elm ls alias alias | more fg cd <1> ls more <1> finger <1> finger <1> fg ls vi <1> setenv <2> vi <1> man <1> man <1> man <1> man <1> man -k <1> man -k man <1> cd fg,0
167,elm exit,0
168,elm cp <2> cd <1> ls ll ll ls cd elm fg elm finger <1> finger <1> finger <1> fg finger <1> finger <1> finger <1> fg finger <1> fg finger <1> ls fg finger <1> fg r -l <2> exit,0
169,elm,0
170,ps -ef | grep <1> ps -aux | grep <1> finger <1> r <1> ls elm fg finger <1> elm rm <1> finger <1> elm finger <1> fg elm finger <1> fg finger <1> finger <1> finger <1> ph <2> fg finger <1> finger <1> rlogin <1> fg rlogin -l <2> fg finger <1> fg cd <1> ls vi <1> fg,0
171,rlogin -l <2> exit,0
172,elm finger <1> finger <1> ph <2> ph <1> finger <1> fg ls mkdir <1> cp <2> ls <1> ls cd <1> ls <GENSYM:0>/vi <1> terran_data pwd finger <1> date finger <1> cd ls ll cd <1> ls cd <1> cp <2> cat <1> rm -f <1> rm -f <1> rm -f <1> rm -rf <1> mv <2> mkdir <1> cd <1> tar <3> cd uuencode <2> > <1> ls cd <1> ls <GENSYM:0>/vi <1> cd ls cp <2> terran_data ls <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> cat <1> finger <1> cat <1> pwd rm -f <1> rm -f <1> rm -rf <1> mv <2> mkdir <1> cd <1> tar <3> cd uuencode <2> > <1> cd <1> ll cd cp <2> ls <1> cat <1> rm -f <1> rm -f <1> rm -rf <1> mv <2> mkdir <1> ls <1> cd <1> tar <3> cd uuencode <2> > <1> ll <1> mailx -s <2> < <1> ls ls -a ls -al rm -rf <1> ls <1> ls <1> ls rm -rf <1> fg finger <1> fg cd <1> ls vi <1> ls fg finger <1> finger <1> finger <1> fg finger <1> fg finger <1> finger <1> finger <1> date fg elm elm finger <1> fg finger <1> fg ls cp <2> vi <1> exit,0
173,elm quota -v ll ftp <1> rm <1> quota -v ls quota -v fg elm rlogin <1> f ps -aux | grep <1> exit,0
174,elm exit,0
175,quota -v ls elm rlogin <1> fg date at <1> at <1> fg cls ls exit,0
178,elm date exit,0
179,elm log,0
180,elm,0
181,finger <1> elm lpq lpq -o lpq -Pmsl2 lpq -Pmsl20 lpq -Pmsl2 fg finger finger <1> date ps -ef | ps -ef | grep <1> ps -aux | grep <1> cls fg exit,0
182,elm exit,0
183,setenv <2> maker maker exit,0
184,ls exit,0
185,which <1> alias <1> alias <GENSYM:3>/talk <1> <GENSYM:3>/talk <1> vi <1> <GENSYM:0>/vi <1> elm finger <1> finger <1> fg elm exit,0
186,setenv <2> maker finger <1> ls uptime who finger <1> cd <1> ls cd <1> ls <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> ls mkdir <1> cd <1> ls ls unalias <1> vi <1> vi <1> ls mv <3> ls mv <2> ls vi <1>,0
187,elm finger <1> finger <1> finger <1> fg finger <1> finger <1> finger <1> fg finger <1> talk <1> j %1 finger <1> finger <1> finger <1> j % %2 talk <1> fg finger <1> fg finger <1> fg rlogin <1> ping <1> fg rlogin <1> finger <1> j fg finger <1> finger <1> finger <1> fg finger <1> finger <1> finger <1> fg finger <1> finger <1> finger <1> finger <1> fg finger <1> r <1> fg finger <1> fg finger <1> finger <1> finger <1> fg finger <1> finger <1> fg talk <1> rlogin -l <2> fg fg exit,0
188,talk <1> exit,0
189,rlogin -l <2> exit,0
190,elm ls cd <1> ls finger ftp <1> ls mv <2> mv <2> vi <1> ls vi <1> ls vi <1> ls vi <1> ftp <1> ls cp <2> vi <1> vi <1> ls vi <1> ls rm <1> unrm -l date finger <1> fg ftp <1> finger <1> ftp <1> ftp <1> cd fg rlogin <1>,0
191,cd <1> ls cat <1> ls exit,0
193,vi <1> exit,0
194,rlogin <1>,0
195,elm,0
196,source <1> source <1> cls finger <1> finger <1> finger <1> finger <1> cls xlock ls vi <1> xlock passwd passwd rlogin <1> exit,0
197,source <1> source <1> ls rm <2> quota -v cd <1> ls cd <1> ls cd <1> ls maker cd cd <1> ls ghostview <1> finger <1> cls date finger <1> finger <1> finger <1> finer <1> finger <1> ls cdls cd ls cd <1> ls rm <1> vi <1> ls ls quota -v ls cd ls cd <1> ls cd <1> ls man <1> man <1> ls gzip <1> gzip <1> cd <1> ls tar <3> cd <1> ls -l chown <2> ls ls -l chgrp <1> newgrp <1> cd <1> ls cd <1> ls rm <1> rm <1> chgrp <2> gzip <1> ls gzip <1> & cd <1> ls cd <1> ls ls rm -rf <1> rm -rf <1> & cd <1> ls ll <1> newgrp <1> ls cd <1> ls cd cd <1> ls cd <1> ls ls ls -l rm -rf <1> cd <1> ls -l cd <1> ls rm <1> cd <1> ls rmdir <1> rlogin <1> ls ls ls -l mkdir <1> cp <2> mv <2> newgrp <1> cd exit,0
198,source <1> source <1> source <1> ls ls -l chown <2> vi <1> ls -l mv <2> cp <2> ls -l rm <1> mv <2> cp <2> ls ls -l rm <1> rm <1> ls ls -l mv <2> cp <2> rm <1> ls -l mv <2> cp <2> ls -l rm <1> mv <2> cp <2> ls -l cp <2> mv <2> ls ls -l mv <2> cp <2> rm <1> ls ls -l cd <1> ls ls -l | more mv <2> cp <2> rm <1> ls -l chown <2> cp <2> ls -l rm <1> mv <2> ls ls -l ls -l | more cd <1> cd <1> tar <3> ls cd <1> ls gzip <1> ls -l <1> man <1> ls more <1> l ls more <1> ls cp <2> gzip <1> ls rm <1> gzip <1> & cd <1> ls rm <1> j kill -9 <1> ls exit,0
199,chown <2> source <1> source <1> source <1> ls ls -l | more chown <2> mv <2> cp <2> ls -l | more mkdir <1> cd <1> ls ls -l cp <2> cd <1> ls ll back ls rm <1> cd <1> rmdir <1> ls ls -l | more chmod <2> ls -l | more chown <2> chown <2> date cp <2> mv <2> ls -l <1> ls -l cp <2> mv <2> cp <2> mv <2> cp <2> mv <2> cp <2> mv <2> cp <2> mv <2> cp <2> ; mv <2> rm <1> ls -l cp <2> ; mv <2> rlogin <1> ls rm <1> ls -l | more cp <2> ; mv <2> cp <2> ; mv <2> cp <2> ; mv <2> cp <2> ; mv <2> ls -l | more chown <1> chown <2> chown <2> ls -l <1> cd <1> ls cd <1> ls ls -l rm <1> cd <1> rm <1> cd <1> rmdir <1> ls cd <1> ls rm <1> cd <1> ls rm <1> ls -l cd <1> ls rm <1> ls -l newgrp <1> exit,0
200,rlogin -l <2> pwd exit,0
201,pwd rm <1> ls -l rm <1> exit,0
202,rlogin -l <2> exit,0
203,pwd mv <2> ls -l cd <1> source <1> source <1> source <1> ls ls ls -l rm <1> LS LS ls ls -l rlogin -l <2> exit,0
204,rlogin -l <2> ls quota -v cd <1> ls cd <1> mv <2> ls cd <1> ls cd <1> ls mv <2> cd <1> ls rmdir <1> ls cd <1> ls ls ls -l ls -l rm -rf <1> rm -rf <1> ls ls -l l cd <1> ls -l rm <1> ls cd <1> ls cd <1> ls -l rm -rf <1> cd <1> ls quota -v exit,0
205,rlogin -l <2> exit,0
206,source <1> source <1> netscape &,0
207,source <1> source <1> xlock ls cd <1> ls ghostview <1> date,0
208,elm exit,0
209,rlogin <1>,0
210,elm exit,0
211,source <1> source <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> ls xlock lwinfo <1> lwinfo <1> xlock rlogin -l <2> cls lwinfo <1> lwinfo ` <1>,0
212,source <1> source <1> xhost <1> rlogin <1> exit,0
213,rlogin <1> exit,0
214,maker maker source <1> source <1> ls lwinfo <1> xlock xlock lwinfo <1> ls cd <1> ls cd <1> ls ghostview <1> rm <1> ls ll <1> date ftp <1> linc xlock exit,0
215,rlogin <1> exit,0
216,rlogin <1> exit,0
217,ls elm elm finger <1> finger <1> finger <1> fg exit,0
218,ls cd <1> ls rm <1> quota -v cd <1> ls cd finger <1> elm finger <1> ftp <1> fg cd <1> ls cd <1> ls mv <2> vi <1> ls lwinfo <1> fg ls diff <2> vi <1> vi <1> diff <2> ls mv <2> fg exit,0
219,rlogin <1> rlogin <1> rlogin -l <2> exit,0
220,elm quota -v ls cd <1> ls cd <1> ls ll <1> ls -R <1> ls -R <1> ls -R | grep <1> cd <1> ls cd <1> ls cd <1> ls ll cd <1> ll cd <1> cd <1> ls cd <1> cd <1> ls cd ls ll <1> ll <1> cd ls rm <1> quota -v quota -v cd <1> ls vi <1> quota -v ls <1> uptime rutime ruptime finger <1> finger <1> finger <1> quota -v cd cd <1> ls cd <1> ls rm -rf <1> rm -rf <1> quota -v cd <1> ls cd <1> ls cd <1> ls cd <1> ls ls -l ls cd <1> ls cd <1> ls cd <1> ll cd <1> ls cd <1> ls cd <1> ls more <1> ls more <1> ls cd <1> ls cd <1> ls cd <1> ls cd <1> cd <1> ls cd fg exit,0
221,netscape & lwinfo <1> lwinfo <1> exit,0
222,rlogin <1> exit,0
223,maker xlock xlock source <1> source <1> ls cd <1> ls ls cd <1> ls rm <1> rm <1> ls <1> ll <1> ghostview <1> ftp <1> rlogin -l <2> ls <1> ghostview <1> rlogin <1> uptime ls ghostview <1> vi <1> exit,0
224,rlogin <1> exit,0
225,rlogin <1> exit,0
226,ls cd <1> ls cd <1> ls cd <1> ls lp -d <2> lp -d <2> lp -d <2> lp -d <2> elm finger <1> cls cd ls finger <1> date exit,0
227,elm finger <1> mail <1> exit,0
228,elm cd <1> ls more <1> fg,0
229,ls elm fg finger <1> finger <1> mail exit,0
230,elm exit,0
231,exit,0
232,elm elm ls rm <1> fg exit,0
233,rlogin <1> exit,0
234,elm exit,0
235,source <1> source <1> xhost <1> finger <1> xlock cd <1> ls vi <1> ls cp <2> vi <1> finger <1> exit,0
236,rlogin <1> exit,0
237,rlogin <1>,0
238,rlogin <1>,0
239,ftp <1> elm cd <1> ls vi <1> cd <1> <GENSYM:4>/terran_data ls <1> ls <1> date cat <1> ll <1> uuencode <2> > <1> ll <1> mailx -s <2> < <1> vi <1> fg ls cat <1> cd <1> rm <1> tar <3> cd uuencode <2> > <1> mailx -s <2> < <1> vi <1> fg cd <1> ls vi <1> fg vi <1> fg ls cd cd <1> ls mv <2> vi <1> ls -l ls -a vi <1> ls ls -a cd <1> ls more <1> more <1> ls cd <1> ls -a vi <1> s elm fg fg <GENSYM:5>/pagecount <1> ls mv <2> finger <1> finger <1> exit fg exit,0
240,elm exit,0
241,elm exit,0
242,elm elm cd <1> ls vi <1> fg,0
243,elm exit,0
244,elm exit,0
245,elm cd <1> ls vi <1> finger <1> talk <1> talk <1> finger <1> fg,0
246,elm exit,0
247,exit,0
248,elm exit,0
249,cd <1> ls cd <1> vi <1> cd elm exit,0
250,elm exit,0
251,elm ls cd <1> ls mv <2> vi <1> exit,0
252,cd <1> ls lwinfo <1> lp -d <2> exit,0
253,finger <1> talk <1> finger <1> finger <1> exit,0
254,finger <1> mail <1> elm finger <1> talk <1> exit,0
255,elm exit,0
256,ls cd <1> ls vi <1> mail <1> ls cp <2> finger <1> rlogin <1> exit,0
257,elm rlogin <1> ping <1> ssinfo fg exit,0
258,elm ls cd <1> ls rm <1> cd <1> ls cd <1> ls vi <1> cd fg rlogin <1> fg,0
259,ls finger <1> ping <1> finger <1> whereis <1> <GENSYM:6>/ping <1> <GENSYM:6>/ping <1> rlogin <1> finger <1> finger <1> finger <1> finger <1> rlogin <1> elm exit,0
260,uptime who elm elm exit,0
261,elm fg exit,0
262,date elm elm,0
263,elm date fg ftp  <1> ftp  <1> ftp <1> elm fg exit,0
264,elm talk <1> talk <1> finger <1> elm f ftp <1> fg finger <1> finger <1> fg elm exit,0
265,elm rlogin <1> fg finger <1> exit,0
266,elm elm ftp <1> elm fg finger <1> finger <1> mail <1> fg rlogin <1> fg finger <1> fg finger <1> fg,0
267,setenv <2> netscape & who uptime uptime ls ftp <1> ls rm <1> rm <1> ls more <1> rm <1> finger <1> finger <1> fg,0
268,elm finger <1> cd <1> cd <1> cd <1> ls <1> cd <1> ls cd <1> ls <1> cd <1> cd <1> ls <1> cd <1> cd <1> ls <1> cd <1> cd <1> ls ls <1> cd <1> cd <1> ls more <1> cd cls finger <1> exit,0
269,elm date exit,0
270,elm finger <1> quit exit,0
271,elm finger <1> r <1> exit,0
272,elm elm ls cd <1> ls vi <1>,0
273,elm rm <1> elm elm cd <1> ls vi <1> cd fg j elm finger <1> exit,0
274,finger <1> elm finger <1> finger <1> mail <1> finger <1> rlogin <1> ftp <1> ping <1> ping <1> elm fg elm exit,0
275,finger <1> finger <1> finger <1> finger <1> elm talk <1> talk <1> fg fg finger <1> finger <1> finger <1> finger <1> finger <1>,0
276,finger <1> ps -ef | grep <1> ps -aux | grep <1> kill -9 <1> elm rm <1> elm elm cp <2> elm ls cd <1> ls rm <1> cd <1> ls rm <1> vi <1> ls quota -v more <1> rm <1> ls cd <1> ls cd <1> cd <1> cd <1> ls cd <1> ls cd <1> ls cd <1> rmdir <1> cd <1> ls cd <1> ls cd <1> ls rlogin <1>,0
277,elm ls ps -aux | grep <1> kill -9 <1> ps -aux | grep <1> elm rm <1> elm fg exit,0
278,elm exit,0
279,elm,0
280,elm,0
281,finger <1> exit,0
282,cd <1> ls mv <2> vi <1> ftp <1> rlogin <1> cd <1> elm date exit,0
283,finger <1> talk <1> elm,0
284,elm exit,0
285,elm elm,0
286,cd <1> ls mv <2> vi <1> ls mv <2> vi <1> ls exit,0
287,finger <1> cd <1> ls ll lp -d <2> lwinfo <1> lp -d <2> exit,0
288,ps -aux | grep <1> kill -9 <1> ps -aux | grep <1> kill -9 <1> kill -9 <1> ps -aux | grep <1> kill -9 <1> elm rm <1> ls elm finger <1> talk <1> fg elm finger <1> talk <1> talk <1> rlogin -l <2> fg finger <1> finger <1> fg ls cat <1> cp <2> vi <1> ll <1> test pwd cat <1> cd <1> <GENSYM:7>/test pwd cd <1> test pwd vi <1> test pwd cat <1> cd <1> <GENSYM:7>/test pwd back rm <1> pwd ls fg finger <1> fg elm elm,0
289,elm,0
290,elm exit,0
291,elm exit,0
292,elm exit,0
293,ssinfo exit,0
294,ls vi <1> cp <2> vi <1> ftp <1> rlogin <1> rlogin <1> finger <1> vi <1> rlogin <1> vi <1> exit,0
295,elm ls cd <1> ls cd <1> ls cd <1> cd <1> ls cd <1> ls ls cd <1> rmdir <1> ls more <1> ls more <1> ls Make_c vi <1> ls rm <1> cd <1> ls rmdir <1> ls cd <1> ls cd <1> man <1> ls man <1> ls cd <1> ls cd <1> ls cd <1> ls cd <1> tar <3> cd <1> ls mv <2> ls cd <1> ls rm <1> cd <1> rmdir <1> ls cd <1> ls tar <3> rm <1> cd <1> rmdir <1> ls man <1> ls gzip <1> ls ungzip <1> gunzip <1> ls cd <1> gzip <1> man <1> man <1> ls cd <1> ls rm <1> ls cd <1> ls cd <1> back cd <1> ls rm <1> cd <1> ls cd <1> ls quota -v rlogin <1> rlogin <1> man <1> cd <1> ls cd <1> ls man <1> cd <1> ls cd <1> ls cd <1> ls cd <1> ls cd <1> ls cd <1> ls cd <1> ls rm <1> quota -v finger <1> rlogin <1> ls cd <1> ls cd <1> ls rm <1>,0
296,elm exit,0
297,cd <1> ls finger <1> ftp <1> exit,0
298,elm,0
299,elm finger <1> ftp <1> fg finger <1> fg exit,0
300,cat <1> cls ls elm exit,0
301,elm ph <2> ph <2> ph <1> ph fg cd <1> ls more <1> cd fg,0
302,exit,0
