median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,label
80400,2.0388,26,2972,603,1972,532,34.11,0
211100,5.0758,35,3189,527,1727,500,34.05,0
255600,4.5987,29,1213,228,654,246,32.79,0
214500,5.5563,13,7910,1195,3382,1176,33.94,0
500001,4.2287,32,2035,520,934,512,33.74,0
202100,2.8793,42,1372,275,674,271,34.05,0
81500,2.6343,14,2799,618,2294,596,37.73,1
98800,2.9485,29,1429,268,672,266,40.92,1
281900,6.2473,24,4177,624,1704,606,33.68,0
184600,3.5518,24,3059,729,2064,629,33.83,0
254700,2.7457,37,1549,301,863,275,38.16,1
143100,4.0767,5,5526,1102,3207,1012,38.03,1
162500,1.2254,42,2472,1368,3795,1179,34.06,0
142600,2.475,43,464,116,416,120,34.06,0
85900,3.5962,15,5343,1002,2503,902,40.5,1
186900,4.7933,37,3342,569,1635,557,37.67,1
71300,3.5417,16,1551,271,1010,292,36.79,1
174400,4.105,16,5203,898,2515,862,32.83,0
225000,3.4698,31,1547,344,956,287,33.9,0
146500,3.7813,14,2313,411,954,397,38.35,1
405000,6.1064,33,4719,758,1980,757,37.51,1
189600,4.0167,18,2626,530,1302,522,33.51,0
164400,4.0926,42,991,215,717,219,33.89,0
337500,2.2794,52,523,124,317,130,34.03,0
72500,2.4281,18,1435,257,657,254,36.29,0
143800,2.5,29,1121,291,762,276,33.87,0
160000,1.7016,27,1190,518,1795,422,34.07,0
118100,1.7038,13,1784,730,2158,682,34.04,0
374000,6.9135,52,2010,286,908,326,34.17,0
202700,5.6874,16,1660,236,733,214,33.16,0
96600,1.9906,29,2781,617,890,310,38.88,1
65800,1.6563,31,1072,279,781,281,38.61,1
167400,1.6953,19,2393,729,1938,762,34.19,0
179800,2.754,21,1789,679,2300,677,34.2,0
96700,3.1053,37,2811,539,1574,516,38.08,1
266100,3.6682,33,3162,722,1553,686,37.34,1
91100,1.8696,52,500,113,480,108,32.71,0
49800,1.4577,38,1481,353,1543,372,36.71,1
90700,2.6471,16,1537,364,1125,375,38.58,1
115800,2.8347,34,1914,364,1564,328,34.04,0
278600,3.5435,52,2602,714,1330,647,37.77,1
250000,1.3071,51,1321,550,781,499,32.72,0
85000,2.933,26,2947,647,825,626,37.88,1
177000,3.4193,45,2264,502,1970,499,33.73,0
99700,3.0598,13,1543,383,776,358,34.04,0
357600,9.6986,6,4186,515,1794,541,33.58,0
475000,4.425,26,1373,336,608,268,32.85,0
273600,6.6272,19,771,103,376,108,32.66,0
182400,3.7328,38,1619,379,886,357,33.99,0
157800,3.055,33,1597,406,1888,423,33.87,0
193800,1.8576,37,773,314,835,312,34.09,0
333600,4.8958,49,702,143,458,187,34.05,0
264600,3.6292,27,4140,969,2135,893,37.31,1
58400,2.1779,36,1437,331,1073,320,37.6,1
173400,2.5762,29,5154,1394,3741,1273,37.78,1
214800,4.2891,48,1308,286,835,294,34.13,0
200000,10.0263,52,154,28,37,16,35.42,0
422800,7.8532,8,2534,380,1527,364,37.44,1
93600,3.2404,39,2855,574,1217,562,38.54,1
122200,3.0694,37,1236,309,966,292,34.03,0
167600,3.6389,36,726,145,490,130,33.91,0
303600,4.1429,37,880,154,369,155,34.17,0
269300,4.875,33,1520,239,658,242,33.78,0
264400,5.1762,16,4632,761,3038,727,34.01,0
191000,3.1662,7,6837,1417,3468,1405,38.48,1
153800,3.775,40,1550,278,798,270,33.94,0
275500,4.7813,39,1912,418,970,406,37.73,1
208800,1.676,44,2666,830,2297,726,34.09,0
142300,3.0192,19,3354,699,1948,682,32.79,0
63500,2.5234,37,1054,239,879,257,36.58,0
95800,1.6675,6,2155,544,1039,391,34.05,0
231700,2.7139,30,3161,813,1865,771,33.73,0
221500,3.3545,24,6347,1548,2945,1492,34.17,0
89500,3.625,25,5016,963,2133,928,36.82,1
226000,5.8891,37,3457,544,1344,530,34.1,0
500001,15.0001,48,1371,164,528,155,34.19,0
270200,4.3859,45,1620,344,941,328,37.75,1
59600,2.3382,38,576,130,478,112,37.29,1
193300,3.402,23,4030,813,1852,778,38.25,1
133600,3.3672,18,3895,689,1086,375,34.26,0
161900,4.375,47,1256,217,570,218,37.77,1
357500,3.1364,38,1729,394,801,395,34.44,1
276500,4.3125,37,3049,508,1287,439,38.5,1
410700,5.1033,15,4260,746,1701,669,34.17,0
375000,1.9045,20,11709,3618,7604,3589,37.43,1
135200,2.6973,31,3473,722,2098,677,32.74,0
167200,2.4135,52,1770,435,1848,439,34.07,0
252000,2.5658,45,2283,509,1093,475,34.05,0
308400,8.176,18,3674,577,1590,550,34.26,0
172100,2.0087,36,4179,1266,4582,1196,33.98,0
500001,6.358,26,3281,531,1145,480,37.58,1
193800,2.2167,40,543,101,259,89,37.73,1
105200,2.1419,30,2188,455,1033,437,39.22,1
90800,2.2917,44,376,87,273,107,34.09,0
168800,1.5972,34,1102,448,1325,439,34.05,0
162100,3.1827,31,1466,264,608,254,38.02,1
161200,4.2917,33,1348,260,1098,257,34.04,0
137500,2.2596,40,1552,419,1919,427,34.01,0
289300,3.1977,31,1431,370,704,393,36.58,1
278700,6.4114,15,5736,800,2529,762,33.6,0
161700,4.2708,15,3201,677,1510,622,33.7,0
231000,5.6163,27,2287,353,1140,351,33.83,0
87500,1.9135,16,638,147,380,132,37.36,1
95700,1.5427,28,2136,575,1799,476,33.95,0
240600,6.2152,13,843,157,918,152,32.79,0
214100,3.3512,32,4275,1061,2812,1012,34.1,0
428600,8.1125,16,8879,1239,3468,1200,34.28,0
125000,1.3897,38,238,72,191,67,36.61,1
76400,2.1875,16,994,185,495,181,40.44,1
263800,5.5073,6,2864,642,1404,603,34.45,1
120400,2.7,45,1610,406,1148,347,34.41,0
109100,3.0156,32,728,136,461,149,36.57,0
170600,3.1106,18,5862,1322,3161,1280,34.19,0
257400,5.34,9,6751,1575,4240,1438,37.4,1
320000,5.6427,26,3756,553,1408,535,37.28,1
289600,3.0726,52,1052,239,381,201,32.75,0
307300,6.2079,12,4992,780,2106,801,33.24,0
325500,6.2871,26,1528,234,607,218,33.45,0
58400,1.7566,25,2516,543,1266,494,40.03,1
48500,1.7083,41,812,168,375,158,34.83,0
216700,1.8942,45,350,66,225,72,38.17,1
97900,2.7663,29,4610,1043,1569,592,34.25,0
158600,4.712,20,3759,609,1705,600,39.66,1
69000,2.3006,23,6403,1370,3573,1260,36.76,1
322300,6.7061,23,3741,501,1339,499,37.94,1
467700,6.8773,18,3167,478,1414,482,37.11,1
163000,3.4659,31,2567,507,1198,499,32.78,0
287100,4.6328,30,1955,388,999,386,37.35,1
54600,1.4913,32,1098,226,726,224,36.83,1
90400,0.8527,43,793,235,736,231,33.94,0
155500,3.2413,31,2516,526,2194,497,34.06,0
175000,2.2708,18,3759,1621,3296,1462,34.07,0
411200,8.6155,17,2070,278,797,275,37.36,1
332100,3.5486,35,3776,733,1583,749,34.01,0
141200,3.2798,45,1283,253,1025,248,33.92,0
247100,4.9489,45,891,155,384,146,37.75,1
153000,2.5625,30,2346,567,1988,474,34.14,0
155000,3.1654,34,1113,313,928,290,34.05,0
390800,3.2321,11,4415,723,1520,627,38.71,1
90000,2.8365,21,1231,204,609,206,36.25,0
196700,4.0789,35,2273,410,1431,403,34.2,0
68200,3.0673,22,894,192,830,202,33.75,0
500001,11.2979,24,4394,535,1443,528,34.13,0
92100,2.3333,36,1110,307,1417,302,33.94,0
297900,3.0546,33,4492,1583,3477,1537,37.7,1
500001,9.802,8,1266,210,375,183,33.62,0
332300,5.795,22,3577,553,1371,501,38.32,1
171100,5.5138,7,5129,820,2824,738,38.15,1
152100,4.3047,27,2676,652,2661,623,34.3,0
232000,2.9688,39,2254,415,1388,404,37.72,1
127100,0.9336,10,934,260,401,255,37.66,1
87500,1.6607,18,164,30,104,32,37.37,1
203400,4.6,34,1653,292,1003,310,33.89,0
228600,2.7587,15,2849,668,1546,582,36.97,1
116700,2.2969,47,617,162,754,144,33.98,0
416700,12.3292,29,570,76,244,72,37.38,1
227600,5.3169,34,760,174,723,198,33.89,0
267900,6.5338,13,2644,422,1197,399,33.1,0
97200,2.1411,52,1591,372,817,357,38.1,1
137500,2.3654,49,806,199,698,172,34.15,0
198800,2.3913,35,1147,365,1016,296,34.08,0
68600,1.9342,32,2293,466,1538,468,36.39,0
352500,3.5045,30,1695,480,932,447,37.39,1
103800,2.148,46,1748,428,1707,409,34.0,0
107800,2.7457,17,2807,529,675,251,38.88,1
131700,4.3214,28,2970,471,1379,463,38.7,1
271300,4.2212,52,2019,418,999,448,37.74,1
97300,4.0481,52,1683,266,646,256,34.14,0
95000,1.9213,52,1533,336,754,340,39.44,1
67500,1.6033,14,1555,369,493,335,38.35,1
326100,4.7986,52,1704,277,746,262,34.19,0
65600,2.6111,13,9444,1997,4166,1482,34.15,0
225600,5.0686,19,2957,492,1639,495,33.62,0
263800,4.1806,44,1404,229,513,217,32.74,0
348300,4.45,46,1777,362,896,334,34.0,0
325000,3.2708,33,1139,299,734,257,34.0,0
108800,1.6851,46,2217,489,1227,448,34.02,0
400000,4.445,52,1760,366,742,318,37.77,1
138400,2.4273,27,3436,755,1568,709,38.9,1
61000,2.2333,36,1518,287,749,255,36.32,1
453100,7.7743,27,2169,305,905,319,37.53,1
500001,9.3399,36,1543,214,474,187,33.88,0
120200,2.875,40,1935,461,1616,433,33.92,0
329200,5.0299,40,756,122,371,130,33.89,0
196300,3.7826,5,3700,993,1657,848,33.79,0
150000,2.6895,30,2953,703,1406,580,33.97,0
152000,3.1042,37,1091,269,905,242,34.07,0
169900,1.9327,52,2031,450,958,445,37.86,1
137500,1.4803,10,1277,488,730,417,33.87,0
283000,4.675,33,2206,393,973,364,33.94,0
404500,5.1386,42,1691,286,761,281,32.7,0
193500,5.3441,21,4203,618,1620,600,32.81,0
205100,5.25,25,1577,266,611,284,32.78,0
145600,4.4489,16,3389,597,1674,568,38.69,1
225000,2.4167,22,1360,282,808,229,38.65,1
215900,3.8846,40,2406,423,1054,426,38.4,1
158500,3.2279,39,787,181,731,179,34.08,0
124700,3.6118,34,3090,593,1588,566,38.0,1
65400,1.6557,10,1711,499,1896,443,33.64,0
280200,5.2206,6,6106,1134,3246,1062,34.28,0
180500,2.4612,45,1569,359,1203,359,34.03,0
105400,3.8531,21,3622,667,2503,720,34.08,0
100000,0.9298,36,2452,734,2664,667,33.93,0
166300,2.7006,17,7352,1699,3331,1634,32.79,0
158000,5.0286,30,1979,342,999,320,34.89,1
243800,3.9038,21,2471,677,1486,689,37.36,1
362900,7.1754,52,2318,328,779,312,37.9,1
201900,4.1292,28,1642,434,1575,420,33.82,0
52600,2.6062,33,2820,515,976,403,41.4,1
500001,5.222,42,3105,559,1253,531,34.05,0
112000,2.2917,37,794,210,814,213,33.97,0
225000,3.2292,52,1691,301,618,239,36.47,1
439900,7.472,10,4926,749,1478,634,32.99,0
88300,2.7002,6,7423,2111,4092,1789,34.05,0
500001,15.0001,32,4281,501,1318,484,37.44,1
276800,3.3333,49,1283,238,576,236,37.9,1
179200,3.25,36,1463,369,1492,366,34.06,0
199700,3.5859,30,1677,372,1021,332,33.9,0
132000,1.7179,5,2878,785,1727,758,32.74,0
61300,1.7675,26,5359,1508,1829,1393,33.77,0
171900,5.2957,18,6860,1079,3205,1058,38.09,1
123800,3.5,17,1521,309,607,240,38.47,1
135300,2.1764,24,7779,1835,3996,1765,34.02,0
137100,5.5136,19,2526,381,1176,381,34.18,0
129300,2.9167,35,2226,602,2230,549,34.08,0
227900,4.2917,5,3634,718,1317,743,34.19,0
94400,3.175,11,2322,459,1373,424,38.4,1
103500,2.9432,49,1851,356,849,307,38.1,1
320800,3.2121,37,3112,716,1304,674,32.69,0
125000,7.3004,32,166,22,63,29,34.17,0
332400,7.2639,15,2130,273,876,285,37.67,1
159100,4.4042,9,2107,411,1138,389,34.02,0
236900,5.9145,35,1542,298,1164,318,37.4,1
461600,8.8281,25,4150,570,1424,547,33.71,0
156900,3.7454,35,2342,426,2176,416,34.05,0
148200,3.0882,14,4054,787,1581,579,34.95,0
166500,3.2308,26,2119,444,1202,440,32.81,0
196900,1.8929,30,1615,570,1245,544,34.14,0
167800,2.5428,45,2174,627,1992,557,34.08,0
126700,2.2961,10,629,140,635,146,38.03,1
500001,3.5985,36,2916,785,1183,749,33.76,0
57900,1.3654,47,1064,245,603,190,39.51,1
238000,5.2937,17,3208,617,2286,602,37.41,1
142000,4.5224,24,4055,742,2123,744,32.79,0
86900,1.1917,32,1164,248,588,270,34.71,0
56000,2.0474,37,2330,495,1505,470,39.36,1
500001,6.6494,35,2020,451,724,399,33.88,0
112400,2.9318,26,3071,615,2156,568,32.68,0
63600,2.5,43,527,133,367,152,37.96,1
431300,7.4787,33,6499,998,2694,957,37.5,1
265900,2.2552,14,1924,926,2226,792,34.07,0
58000,1.8125,25,991,272,941,262,36.76,1
194100,7.7751,13,3137,417,1318,397,35.39,0
142800,3.4856,28,2292,531,2197,509,33.86,0
178700,2.625,33,2886,726,2650,728,34.0,0
187500,1.0,34,161,48,66,33,34.2,0
225000,4.575,16,2186,511,908,466,33.77,0
313000,4.8105,23,4763,828,2198,771,34.42,0
500001,13.8556,52,2416,291,810,270,34.05,0
153600,3.2857,37,1152,259,981,225,33.89,0
62300,2.5833,26,1284,239,820,254,36.9,1
194500,4.084,7,17579,3479,3581,1820,33.74,0
163900,4.4762,30,5398,926,2672,864,33.94,0
398800,6.9931,25,1821,344,349,179,38.36,1
204100,4.4597,29,3201,640,1722,570,37.14,1
199300,4.69,35,3079,579,1807,589,34.39,0
176700,2.2095,36,2162,658,1337,590,34.16,0
500001,9.2175,35,2426,359,937,387,33.62,0
248900,5.5164,15,2053,321,993,309,32.75,0
150000,2.6364,36,1407,385,1763,350,33.97,0
231700,5.3678,7,11818,1745,5499,1600,34.14,0
58000,2.3977,11,658,131,376,120,33.97,0
126000,4.0313,18,2040,402,350,129,39.04,1
163300,3.0577,41,1204,252,1002,248,33.99,0
113400,2.9083,32,2564,513,1198,459,37.8,1
300000,3.1563,22,2442,624,1301,290,36.85,1
310900,5.1207,34,1980,385,970,391,37.53,1
218800,3.6696,19,1967,487,1251,404,33.71,0
70400,2.6726,32,1962,399,1005,392,36.77,1
237700,6.5006,16,2978,411,1531,400,38.0,1
118800,1.8856,17,2357,599,1423,510,32.74,0
73100,1.4828,24,1266,275,1083,298,32.67,0
75000,1.0801,28,1153,420,1043,357,37.62,1
450700,8.8467,17,4542,621,2144,597,34.3,0
240200,5.7512,26,1977,264,817,273,37.97,1
65800,1.9939,38,1892,394,1175,374,32.82,0
64700,2.0,15,3149,713,1281,486,34.85,0
175100,4.0658,44,1832,401,1056,405,33.87,0
223700,3.5,21,2979,744,1824,692,34.2,0
96300,2.7955,23,1796,380,939,330,38.69,1
405100,5.8783,34,3562,565,1542,563,37.6,1
376800,5.3261,38,984,171,429,157,37.53,1
500001,11.3074,42,2785,389,833,333,32.82,0
350000,3.5541,20,1655,450,857,430,37.64,1
162500,1.9811,16,1807,346,587,296,34.19,0
177300,2.9076,52,2031,506,1191,463,33.87,0
98400,1.2273,41,1175,340,1241,352,33.96,0
138800,2.3062,16,1000,197,508,190,39.09,1
175000,4.875,26,138,23,100,20,33.96,0
260900,2.5417,43,2162,509,1208,464,36.97,1
104700,2.2574,23,2311,487,1019,384,36.63,0
159500,4.6696,17,1317,256,679,272,33.8,0
295900,5.0784,37,1768,314,802,290,33.86,0
137500,3.2679,30,156,45,77,40,32.77,0
500001,6.918,32,784,112,262,114,36.59,1
227000,5.4622,17,2150,361,1194,335,33.6,0
263900,3.4531,41,2476,506,1271,485,34.22,0
160400,3.625,16,1458,295,912,331,34.06,0
142000,3.0682,43,2104,393,1132,394,33.94,0
162500,4.0357,36,1184,240,946,232,33.96,0
230400,3.5313,39,1166,222,640,206,33.9,0
500001,7.3681,38,3626,528,1350,532,37.43,1
217700,4.7083,20,4461,864,2042,808,37.32,1
183000,3.825,48,1172,205,497,190,33.99,0
245800,3.3884,17,3469,896,2762,808,37.43,1
129200,1.6267,23,1569,414,1031,368,38.42,1
60400,1.4712,12,2710,575,1724,516,36.98,1
67500,1.75,50,340,74,235,83,40.81,1
295200,4.4485,21,3707,751,1420,608,36.97,1
192600,5.2548,35,1661,272,949,276,33.85,0
150600,3.5469,36,1465,363,1538,342,34.01,0
125700,4.6417,17,2479,390,1219,363,34.69,0
63400,2.2431,41,1147,243,583,239,39.13,1
151300,4.5432,2,21897,3513,8652,2873,38.72,1
245600,6.0094,30,2399,373,1062,377,34.19,0
500001,12.2092,20,2819,319,1019,319,33.82,0
165500,4.0,38,1471,329,1207,335,33.8,0
113500,3.3553,21,3465,639,2292,628,34.07,0
322200,2.9201,32,2131,625,1229,572,37.79,1
362500,3.6207,27,4312,1214,1634,1097,34.09,0
69600,2.3365,22,1824,333,1076,282,36.35,0
156100,2.84,41,1807,442,1628,443,33.94,0
87500,2.0734,21,2350,667,1621,613,32.59,0
193100,3.6442,17,2439,554,1161,532,33.8,0
218000,4.2731,34,3903,717,2054,716,33.8,0
101800,2.0486,42,763,191,754,174,33.93,0
129100,1.6892,52,1542,309,939,276,34.0,0
156300,2.6842,44,1158,226,1094,224,37.88,1
183200,4.8229,10,2349,431,1598,435,32.91,0
148100,2.3882,42,1651,463,1559,436,33.95,0
500001,15.0001,52,1721,195,688,196,34.08,0
222100,5.6637,20,5476,1073,2327,963,33.65,0
167600,3.3326,52,1580,426,1462,406,34.12,0
184500,2.506,25,5980,1856,5217,1772,34.14,0
370000,3.3702,52,1968,472,784,430,37.76,1
239400,3.5156,42,1961,427,1211,409,37.71,1
166700,3.9773,36,1620,298,1258,309,33.97,0
233300,2.4286,25,1137,293,800,281,34.06,0
240000,2.5368,35,1605,392,743,382,36.97,1
91300,2.32,25,1789,536,1134,396,38.95,1
483500,8.6454,31,5297,664,1986,657,34.24,0
150500,3.6583,37,1341,336,1233,306,34.0,0
99500,2.0493,19,1549,369,770,370,37.58,1
240200,2.9327,42,1957,389,985,414,34.18,0
95500,2.5122,45,2299,514,1437,484,37.76,1
500001,10.3682,37,1244,173,394,154,33.61,0
251600,4.2898,40,1975,389,1116,378,34.09,0
120800,1.3291,16,3920,1094,2612,1023,32.8,0
135700,4.1563,26,1387,226,807,244,38.67,1
225400,4.8333,34,2389,521,1560,514,34.21,0
500001,4.0439,27,3990,892,1417,800,34.14,0
85100,3.4643,16,1821,360,969,359,40.31,1
500001,5.8788,12,7508,1058,2484,965,34.11,0
164800,3.0833,41,1368,309,1244,312,33.95,0
111600,2.7388,15,2116,524,866,519,38.67,1
161000,3.8068,12,2772,578,1335,565,38.64,1
213700,5.5601,4,17032,2546,7653,2359,37.97,1
116500,2.9457,21,4924,966,1175,454,38.03,1
350000,9.5908,37,74,19,63,17,37.14,1
159900,4.0625,35,1213,284,742,253,33.93,0
438300,3.1445,45,1607,331,633,332,34.11,0
171100,4.6944,26,3054,492,1495,496,38.01,1
271100,3.6797,21,6638,1634,3240,1568,33.79,0
500001,2.7275,17,1951,368,681,350,34.38,0
68000,2.5993,33,1009,238,1027,246,37.6,1
191700,2.6957,23,2850,864,2249,777,34.2,0
255900,5.8053,24,3810,579,1818,590,33.77,0
112500,2.2961,46,453,119,533,132,34.06,0
182200,3.7292,14,3173,599,1451,585,32.81,0
347600,5.2868,47,3175,454,1098,485,37.84,1
332000,5.0863,30,3298,634,1532,602,37.25,1
110900,2.7857,20,2458,491,1227,481,37.79,1
211900,3.6875,13,4859,1293,3351,1200,34.2,0
262500,4.2344,33,2327,479,1166,472,34.2,0
237900,4.075,28,7200,1281,3793,1238,34.38,0
90000,2.85,38,180,43,246,56,33.93,0
427200,4.5179,35,2152,454,902,414,33.83,0
370500,5.9806,15,1804,339,673,296,32.94,0
116300,3.0625,8,5690,1189,2887,1077,39.73,1
170800,2.735,18,2628,720,2276,649,33.88,0
285500,6.6458,31,3508,585,1957,588,34.28,0
111500,3.1384,46,2189,423,866,389,33.95,0
83200,3.6,22,1339,251,820,276,36.72,1
248200,5.0838,20,6483,1068,3526,1060,37.54,1
395500,4.6366,40,2709,521,1156,510,37.49,1
218300,3.1823,12,3188,931,2118,850,34.17,0
500001,7.6229,35,2471,349,881,342,37.39,1
88900,2.9965,20,2505,468,1174,429,39.49,1
181000,2.8512,43,1575,324,740,284,37.69,1
280900,5.4197,24,2168,373,934,366,34.45,1
345300,3.0862,35,2457,552,1159,523,34.05,0
181000,4.9342,23,6361,1168,4580,1109,34.04,0
192200,5.3016,33,2382,404,1339,389,33.94,0
78100,1.5603,25,1665,374,845,330,39.48,1
75000,1.3036,52,201,35,74,22,37.64,1
433300,8.0448,35,2785,362,1001,363,37.88,1
160100,4.0,26,1399,277,1285,276,34.1,0
109200,2.5221,7,1810,386,931,355,33.74,0
96200,4.0625,10,2562,460,1478,433,38.7,1
191400,4.4769,16,2094,358,1092,357,38.87,1
360000,5.5456,18,3824,559,241,106,39.19,1
185600,5.038,9,4967,885,2581,915,38.42,1
118800,2.3355,18,4775,886,1868,836,33.97,0
122700,1.6198,30,610,145,425,140,37.79,1
206300,5.3638,3,5710,919,2874,886,34.14,0
195600,4.3397,24,2831,478,1582,435,34.06,0
75600,1.875,48,786,230,917,231,32.7,0
104300,3.5,10,1621,318,866,283,40.25,1
385900,4.3333,39,1610,278,511,278,34.13,0
113900,2.7661,38,1901,392,1099,406,32.74,0
79400,1.6,43,369,107,371,111,37.94,1
81300,2.0446,9,1142,314,620,283,36.77,1
129200,3.0393,17,3431,934,2365,810,33.96,0
73500,1.5739,16,1177,240,519,199,38.87,1
175900,4.5707,27,3228,562,1666,588,38.01,1
142400,3.3603,29,1701,419,1616,371,34.27,0
234100,2.5806,47,2815,679,1533,594,34.05,0
286700,3.5445,25,3710,1015,2068,958,37.53,1
92500,2.8616,47,1396,254,630,218,38.29,1
170100,3.8073,14,1978,424,1085,387,32.82,0
161800,2.7708,33,1771,398,1037,388,36.62,1
225300,5.1171,36,1462,233,664,220,33.83,0
170600,2.3375,33,2040,576,2649,561,33.93,0
319400,3.0574,25,3442,1050,1890,914,34.03,0
95800,3.2279,28,1089,179,544,190,35.51,0
73400,2.218,35,4448,906,2736,843,33.94,0
93600,3.5962,36,1597,301,632,262,40.31,1
51700,1.7926,22,1529,375,1543,395,36.84,1
358700,2.8514,52,2167,622,1095,570,33.99,0
64700,1.6854,18,5822,1439,3415,1224,36.79,1
344200,6.4027,11,5827,882,2588,842,33.05,0
314000,5.6512,33,9531,1487,3798,1409,38.02,1
185700,2.6402,43,912,255,705,246,34.03,0
279300,5.5777,21,5541,776,2214,737,37.94,1
119400,2.9018,52,610,145,281,132,37.85,1
280400,5.4386,33,1940,327,877,314,37.28,1
187100,4.8958,17,1962,291,825,267,37.91,1
83800,2.1542,17,1564,345,517,222,41.01,1
309300,3.5875,39,2618,582,1314,532,34.11,0
229200,6.4232,7,18392,2782,8276,2742,38.08,1
245000,2.7875,30,2156,487,1023,458,36.99,1
227600,5.5196,45,3087,574,1474,567,33.83,0
500001,5.0151,33,2921,652,1124,608,34.05,0
320800,3.4799,16,4109,798,1298,626,35.58,1
147300,3.75,16,3467,615,1478,601,38.68,1
162300,5.1098,16,3361,537,1754,578,32.74,0
265900,6.8154,24,1956,262,969,256,33.6,0
500001,6.822,41,847,173,344,170,33.87,0
189100,4.3598,5,8576,1952,5006,1827,32.89,0
316400,7.5,15,4058,511,1580,473,32.78,0
181900,3.0083,18,3405,831,3001,795,34.23,0
261500,3.1921,27,2335,604,982,590,32.74,0
69000,1.3417,33,933,219,838,211,34.12,0
181300,2.1484,52,135,34,93,26,37.72,1
293000,4.9375,19,2512,575,1275,544,33.87,0
111100,4.3676,28,2685,425,1304,420,34.18,0
218300,4.8667,44,1276,234,538,213,33.86,0
147200,2.181,36,1625,490,2003,478,34.04,0
243800,2.0368,37,470,105,522,83,34.17,0
223000,4.5708,25,9255,1659,4944,1627,34.11,0
137500,3.0417,18,123,28,121,26,34.11,0
60600,1.7427,32,3611,772,2060,759,40.69,1
275000,1.625,4,18,3,8,6,35.22,0
350000,1.4722,52,329,109,291,102,34.42,1
171200,2.3182,38,1363,395,1798,405,34.21,0
83500,2.3456,42,541,154,380,123,37.74,1
225000,3.5109,21,1568,452,801,422,33.72,0
165600,2.4207,31,1902,554,1485,494,37.32,1
152000,3.5714,38,1527,332,1303,340,34.28,0
192000,2.9063,52,1931,329,1025,293,37.73,1
254200,6.5412,12,2880,406,1381,418,32.81,0
150000,2.5764,14,2606,514,1228,512,34.71,0
212500,4.1379,22,1892,442,1015,404,33.8,0
80400,1.6429,23,2248,489,1132,444,40.63,1
206500,5.64,27,1826,309,1016,313,37.62,1
331100,6.1896,19,4768,807,2199,805,37.5,1
201400,5.4548,35,782,144,425,140,34.19,0
188400,5.1811,6,3254,465,1168,345,38.42,1
195400,4.6141,4,974,232,428,203,33.71,0
