openml_task_id,openml_interval_start,openml_interval_end,openml_classifier_moa.WEKAClassifier_J48(1),openml_classifier_moa.LeveragingBag_HoeffdingTree(1),openml_classifier_moa.WEKAClassifier_SMO_PolyKernel(1),openml_classifier_moa.kNN(1),openml_classifier_moa.WEKAClassifier_OneR(1),openml_classifier_moa.LeveragingBag_kNN(1),openml_classifier_moa.OzaBoost_HoeffdingTree(1),openml_classifier_moa.HoeffdingTree(1),openml_classifier_moa.SGD(1),openml_classifier_moa.NaiveBayes(1),openml_classifier_moa.WEKAClassifier_REPTree(1),openml_classifier_moa.OzaBag_HoeffdingTree(1),openml_classifier_moa.SPegasos(1),meta_REPTreeDepth2ErrRate,meta_J48.00001.ErrRate,meta_NBErrRate,meta_MeanMutualInformation,meta_NBAUC,meta_DecisionStumpKappa,meta_HoeffdingDDM.warnings,meta_NoiseToSignalRatio,meta_RandomTreeDepth3AUC_K=0,meta_PercentageOfNumericAtts,meta_EquivalentNumberOfAtts,meta_HoeffdingDDM.changes,meta_ClassEntropy,meta_NaiveBayesDdm.changes,meta_NumNominalAtts,meta_REPTreeDepth3AUC,meta_MeanAttributeEntropy,meta_MeanKurtosisOfNumericAtts,meta_REPTreeDepth3Kappa,meta_J48.001.ErrRate,meta_NumNumericAtts,meta_ClassCount,meta_J48.00001.AUC,meta_PercentageOfBinaryAtts,meta_DecisionStumpAUC,meta_RandomTreeDepth1AUC_K=0,meta_REPTreeDepth2Kappa,meta_PositivePercentage,meta_J48.0001.ErrRate,meta_MinNominalAttDistinctValues,meta_RandomTreeDepth2AUC_K=0,meta_MeanMeansOfNumericAtts,meta_J48.0001.kappa,meta_MeanNominalAttDistinctValues,meta_J48.00001.kappa,meta_PercentageOfNominalAtts,meta_REPTreeDepth1Kappa,meta_NegativePercentage,meta_NumBinaryAtts,meta_NaiveBayesDdm.warnings,meta_MaxNominalAttDistinctValues,meta_J48.001.AUC,meta_J48.0001.AUC,meta_NBKappa,meta_REPTreeDepth1AUC,meta_NaiveBayesAdwin.changes,meta_REPTreeDepth3ErrRate,meta_DecisionStumpErrRate,meta_MeanStdDevOfNumericAtts,meta_Dimensionality,meta_REPTreeDepth2AUC,meta_StdvNominalAttDistinctValues,meta_HoeffdingAdwin.changes,meta_MeanSkewnessOfNumericAtts,meta_DefaultAccuracy,meta_REPTreeDepth1ErrRate,meta_J48.001.kappa,meta_NumAttributes,label
2130,341000,342000,0.342257,0.357477,0.406143,0.353588,0.110898,0.355421,0.001254,0.485854,0.039906,0.437822,0.320819,0.506684,0.038102,89.1,71.5,66.6,-1.0,0.801387,0.017258,0,-1.0,0.715742,0.941176,-1.0,0,4.679779,0,0,0.698509,-1.0,0.110424,0.126383,70.6,16,26,0.698552,0.0,0.617241,0.626633,0.062127,0.03,70.3,-1,0.679361,5.963731,0.267549,-1.0,0.254906,0.0,0.023505,0.06,0,9,-1,0.666278,0.691668,0.306284,0.60537,5,83.6,92.8,2.260395,0.017,0.664464,-1.0,1,0.257495,0.06,92.2,0.264406,17,4
185,843000,844000,0.900351,0.9654,0.90459,0.859037,0.822584,0.857466,0.971501,0.944489,0.855086,0.794437,0.880674,0.951083,0.882309,19.7,13.9,19.5,0.068144,0.915916,0.515949,0,17.944752,0.832836,0.0,14.222285,0,0.969169,0,34,0.880839,1.290978,0.0,0.62921,14.1,0,2,0.853558,0.0,0.73409,0.689074,0.56436,0.397,14.1,1,0.78527,0.0,0.698896,2.941176,0.703427,0.971429,0.515949,0.603,0,0,3,0.848804,0.848804,0.6116,0.736502,0,17.6,21.6,0.0,0.035,0.778244,0.342997,0,0.0,0.603,21.6,0.698896,35,5
199,640000,641000,0.842827,0.891509,0.848198,0.869682,0.680583,0.869945,0.877187,0.860251,0.842627,0.853913,0.843228,0.863942,0.789251,17.8,16.2,12.7,-1.0,0.857495,0.231858,0,-1.0,0.832992,0.75,-1.0,0,0.871291,0,0,0.810422,-1.0,-1.185551,0.611261,15.1,3,2,0.781185,0.0,0.70902,0.70902,0.517018,0.292,15.1,-1,0.814461,4.990207,0.604132,-1.0,0.584803,0.0,0.1809,0.708,0,0,-1,0.788382,0.788382,0.667051,0.610968,0,15.2,29.3,2.878449,0.004,0.764311,-1.0,0,-0.007665,0.708,27.7,0.604132,4,1
197,320000,321000,0.219657,0.551324,0.254374,0.838891,0.246548,0.838832,0.001567,0.335131,0.167118,0.294567,0.220265,0.387891,0.209246,58.5,41.6,45.6,-1.0,0.798895,0.165689,0,-1.0,0.741711,0.909091,-1.0,0,2.212813,0,0,0.719022,-1.0,0.107223,0.291266,34.3,10,5,0.786767,0.0,0.58258,0.590105,0.241022,0.078,39.0,-1,0.662153,0.519265,0.491938,-1.0,0.461106,0.0,0.164895,0.297,0,0,-1,0.801887,0.789551,0.414783,0.583343,1,54.4,61.6,0.337349,0.011,0.684305,-1.0,0,-0.050915,0.297,61.6,0.553603,11,10
122,517000,518000,0.935071,0.954635,0.923826,0.859761,0.673766,0.861471,0.949855,0.947865,0.875058,0.850888,0.93245,0.949568,0.91122,27.8,8.6,14.9,0.018376,0.923469,0.340835,0,-55.420275,0.684427,0.0,54.401274,0,0.999651,0,36,0.909028,-1.0,0.0,0.756589,8.2,0,2,0.93337,0.918919,0.666901,0.561248,0.44993,0.489,8.6,2,0.589259,0.0,0.828083,2.055556,0.828083,0.972973,0.340835,0.511,34,0,3,0.939133,0.93337,0.702026,0.666901,0,12.2,32.5,0.0,0.037,0.817334,0.232311,0,0.0,0.511,32.5,0.835906,37,1
188,1058000,1059000,0.525633,0.886084,0.520336,0.819084,0.324822,0.82301,0.879482,0.778059,0.676372,0.333073,0.314391,0.818552,0.727918,15.5,13.9,17.9,0.007517,0.84749,0.565547,3,-134.029668,0.804863,0.30137,-133.029668,0,-1.0,0,50,0.801992,-1.0,-0.985541,0.646777,13.9,22,10,0.820878,0.60274,0.751593,0.734623,0.624988,0.0,13.9,2,0.780881,1.444774,0.669174,2.3,0.669174,0.684932,0.565547,0.665,44,0,7,0.820878,0.820878,0.582735,0.751593,1,14.7,17.4,0.314141,0.073,0.79561,0.909137,1,-0.019204,0.665,17.4,0.669174,73,1
2131,332000,333000,0.509108,0.639547,0.581583,0.575949,0.359237,0.577156,0.660535,0.640441,0.016823,0.605721,0.439105,0.659505,0.016823,59.5,54.2,47.0,0.148261,0.812941,0.196942,0,10.025889,0.630289,0.576923,15.502809,0,2.298457,0,10,0.664688,1.634706,0.80921,0.191066,52.5,15,7,0.722827,0.153846,0.668405,0.639321,0.183463,0.004,54.2,2,0.661266,1430.769779,0.236097,6.0,0.236097,0.384615,0.178033,0.319,4,0,22,0.731387,0.722827,0.386966,0.651434,0,58.9,56.3,595.645578,0.026,0.662709,6.110101,0,0.7602,0.319,59.8,0.271628,26,5
174,713000,714000,0.775015,0.910077,0.879563,0.821833,0.317479,0.821797,0.907109,0.892164,0.047741,0.90156,0.676959,0.903539,0.029468,46.8,31.5,11.9,0.365237,0.990895,0.143842,0,1.837108,0.813006,0.0,10.565005,0,3.858735,0,35,0.867037,1.036218,0.0,0.563486,30.4,0,19,0.895635,0.444444,0.696646,0.730015,0.475914,0.016,31.1,2,0.82436,0.0,0.658909,2.857143,0.654634,0.972222,0.240975,0.153,16,0,7,0.891111,0.892621,0.869501,0.752801,5,39.1,74.7,0.0,0.036,0.847683,1.088519,5,0.0,0.153,66.4,0.666728,36,1
191,516000,517000,0.740296,0.89425,0.913455,0.832132,0.558936,0.833342,0.893917,0.892654,0.724549,0.926567,0.738074,0.899456,0.913505,32.7,32.9,12.2,-1.0,0.931736,0.234778,0,-1.0,0.709409,0.909091,-1.0,0,-1.0,0,0,0.706609,-1.0,-1.195355,0.38201,28.0,10,5,0.688132,0.0,0.627097,0.6266,0.3478,0.0,32.8,-1,0.663029,0.497563,0.345625,-1.0,0.343931,0.0,0.236162,0.523,0,0,-1,0.745039,0.688533,0.755347,0.628969,1,30.8,37.8,0.288389,0.011,0.684464,-1.0,0,0.003977,0.523,37.7,0.439226,11,3
2160,654000,655000,0.710398,0.829637,0.787093,0.745256,0.665499,0.747253,0.824113,0.796344,0.704667,0.755038,0.733119,0.819661,0.77306,29.2,27.9,24.2,-1.0,0.844857,0.432733,0,-1.0,0.747493,0.983607,-1.0,0,0.999261,0,0,0.743367,-1.0,0.769807,0.420297,26.0,60,2,0.730906,0.0,0.704425,0.721459,0.416747,0.484,27.5,-1,0.746198,0.278096,0.450457,-1.0,0.440388,0.0,0.3402,0.516,0,0,-1,0.745954,0.736833,0.516557,0.681402,0,29.0,28.2,0.140835,0.061,0.730256,-1.0,0,0.832543,0.516,32.8,0.479267,61,1
2156,689000,690000,0.724159,0.782051,0.769975,0.729265,0.640899,0.730061,0.773041,0.775793,0.595535,0.766757,0.725161,0.781152,0.571242,29.0,29.8,24.6,0.022757,0.802515,0.0,0,62.205439,0.637911,0.333333,38.618022,0,0.878832,0,13,0.731216,1.43837,0.660137,0.347049,29.8,7,2,0.5,0.095238,0.691964,0.666232,0.289021,0.298,29.8,2,0.649568,455.751491,0.0,4.307692,0.0,0.619048,0.149748,0.702,2,0,11,0.5,0.5,0.377152,0.648863,0,26.0,29.8,387.734926,0.021,0.728833,2.287087,0,0.888256,0.702,29.7,0.0,21,1
190,126000,127000,0.676921,0.866756,0.780173,0.831236,0.509646,0.832039,0.866402,0.852236,0.521724,0.848307,0.702268,0.864039,0.88874,24.9,20.9,12.5,-1.0,0.923928,0.422131,0,-1.0,0.771239,0.909091,-1.0,0,-1.0,0,0,0.810755,-1.0,-1.19235,0.54302,20.9,10,5,0.833514,0.0,0.712254,0.701207,0.505191,0.0,20.9,-1,0.755418,0.501086,0.581481,-1.0,0.581481,0.0,0.380764,0.531,0,0,-1,0.83192,0.833514,0.748503,0.712176,0,22.9,28.7,0.288103,0.011,0.790434,-1.0,0,-0.014444,0.531,31.1,0.581377,11,6
195,185000,186000,0.67493,0.836188,0.490548,0.884382,0.395651,0.884398,0.75679,0.695274,0.166871,0.524376,0.639715,0.744602,0.194785,62.8,36.3,44.6,-1.0,0.804128,0.072715,0,-1.0,0.737509,0.909091,-1.0,0,2.22458,0,0,0.728412,-1.0,0.228299,0.291646,34.0,10,5,0.813018,0.0,0.593338,0.591926,0.138008,0.082,34.4,-1,0.657166,0.492386,0.557487,-1.0,0.533317,0.0,0.092022,0.278,0,11,-1,0.81244,0.821332,0.422136,0.588796,0,53.7,68.9,0.339751,0.011,0.651665,-1.0,0,0.004008,0.278,67.7,0.563053,11,2
2165,773000,774000,0.879783,0.924974,0.89453,0.88724,0.839612,0.88691,0.921804,0.914009,0.83139,0.877087,0.84211,0.918972,0.727627,17.4,17.2,13.2,0.047319,0.922122,0.220107,0,15.340855,0.798201,0.3,16.179754,0,0.765608,0,13,0.735166,0.773231,1.968018,0.376241,17.2,6,2,0.673503,0.65,0.724674,0.703892,0.376241,0.223,17.2,2,0.744138,47.587663,0.404692,2.0,0.404692,0.65,0.220107,0.777,13,0,2,0.673503,0.673503,0.633168,0.624732,0,17.4,20.2,28.680401,0.02,0.735166,0.0,0,1.100355,0.777,20.2,0.404692,20,1
174,777000,778000,0.775339,0.911039,0.879808,0.822059,0.317523,0.822045,0.90795,0.89268,0.048226,0.901787,0.67697,0.904044,0.0295,48.3,28.5,9.9,0.378297,0.992193,0.128187,0,1.737168,0.87698,0.0,10.071156,0,3.809888,0,35,0.870486,1.035462,0.0,0.543302,27.9,0,19,0.893733,0.444444,0.727241,0.698366,0.462343,0.012,28.5,2,0.829426,0.0,0.686171,2.857143,0.686161,0.972222,0.24847,0.143,16,0,7,0.894157,0.89358,0.891201,0.766322,4,41.3,76.4,0.0,0.036,0.856544,1.088519,3,0.0,0.143,65.8,0.693135,36,1
2162,839000,840000,0.833243,0.888312,0.873414,0.848048,0.756806,0.848533,0.881338,0.878825,0.732455,0.867867,0.815379,0.881145,0.588817,23.9,20.2,14.4,0.119189,0.935486,0.490582,0,8.484564,0.851025,0.428571,-8.390038,0,-1.0,0,7,0.844651,1.130455,0.178668,0.610863,20.2,6,5,0.841215,0.214286,0.752219,0.752954,0.51201,0.0,20.2,2,0.831252,97.380135,0.593508,2.714286,0.593508,0.5,0.518312,0.547,3,0,4,0.841215,0.841215,0.711046,0.768811,0,19.2,25.5,17.191763,0.014,0.788627,0.755929,0,0.550355,0.547,24.0,0.593508,14,1
197,874000,875000,0.222173,0.554537,0.255249,0.840238,0.246189,0.84016,0.000575,0.323913,0.166525,0.291514,0.219879,0.374774,0.186029,58.3,37.9,43.1,-1.0,0.816874,0.080147,0,-1.0,0.765893,0.909091,-1.0,0,2.236124,0,0,0.749533,-1.0,-0.157313,0.355743,35.9,10,5,0.798681,0.0,0.596803,0.581583,0.225203,0.107,36.4,-1,0.689896,0.49818,0.527473,-1.0,0.505729,0.0,0.0,0.299,0,0,-1,0.804874,0.80708,0.440158,0.498761,0,49.0,65.5,0.349815,0.011,0.696924,-1.0,0,-0.045677,0.299,70.1,0.536313,11,10
2154,891000,892000,0.865161,0.889373,0.85676,0.859886,0.848119,0.859646,0.876535,0.876512,0.647993,0.830716,0.854466,0.882744,0.54326,15.5,14.8,17.9,0.09117,0.903567,0.704266,0,13.409835,0.846388,0.375,10.904289,0,0.994149,0,9,0.864273,1.313751,6.202364,0.69,14.8,6,2,0.851189,0.25,0.851189,0.801397,0.69,0.455,14.8,2,0.884319,222.040011,0.704266,4.555556,0.704266,0.5625,0.704266,0.545,4,0,14,0.851189,0.851189,0.634096,0.851189,0,15.5,14.8,972.339459,0.016,0.864273,4.186619,0,2.027012,0.545,14.8,0.704266,16,1
190,40000,41000,0.679902,0.852756,0.791878,0.826902,0.518829,0.827463,0.866976,0.858317,0.49622,0.862927,0.695683,0.869902,0.866415,33.8,30.9,11.7,-1.0,0.933321,0.27816,0,-1.0,0.709332,0.909091,-1.0,0,-1.0,0,0,0.722717,-1.0,-1.186376,0.361379,30.0,10,5,0.710014,0.0,0.656128,0.634378,0.326908,0.0,29.9,-1,0.668445,0.503071,0.401449,-1.0,0.383209,0.0,0.258961,0.51,0,10,-1,0.722887,0.719136,0.765766,0.640044,0,32.0,35.9,0.287145,0.011,0.699616,-1.0,0,-0.030573,0.51,36.8,0.40024,11,4
2166,390000,391000,0.348271,0.56967,0.320849,0.356233,0.173095,0.356417,0.625199,0.668668,0.090565,0.369611,0.289691,0.691921,0.101483,89.3,78.3,71.1,0.03832,0.771877,0.07058,0,50.335241,0.632425,0.714286,90.04149,0,3.450401,0,3,0.596588,1.967172,-0.563958,0.058895,79.0,10,11,0.700097,0.142857,0.621847,0.49481,0.013842,0.077,78.5,2,0.630386,-0.101174,0.131702,6.333333,0.133592,0.214286,0.0,0.109,2,0,15,0.688617,0.698389,0.216292,0.498904,0,85.2,83.3,0.707384,0.014,0.562535,7.505553,0,0.110077,0.109,89.1,0.125899,14,4
198,48000,49000,0.275735,0.763143,0.31,0.871939,0.249816,0.872327,0.620224,0.572612,0.167367,0.395388,0.28402,0.610306,0.22902,58.1,32.0,38.4,-1.0,0.843548,0.077347,0,-1.0,0.771158,0.909091,-1.0,0,2.217605,0,0,0.782579,-1.0,0.156446,0.380023,31.0,10,5,0.829998,0.0,0.614636,0.593008,0.233424,0.092,32.1,-1,0.678782,0.537678,0.581444,-1.0,0.583778,0.0,0.05902,0.303,0,0,-1,0.826855,0.820786,0.502176,0.56832,0,47.5,66.2,0.340439,0.011,0.704921,-1.0,0,-0.106375,0.303,67.1,0.59685,11,2
2160,69000,70000,0.707943,0.809114,0.783214,0.744943,0.663029,0.746443,0.7984,0.775586,0.535814,0.755457,0.729786,0.793657,0.725243,29.6,29.4,25.2,-1.0,0.830118,0.399516,0,-1.0,0.677772,0.983607,-1.0,0,0.999651,0,0,0.741913,-1.0,0.789709,0.38934,31.0,60,2,0.705131,0.0,0.693752,0.650709,0.405778,0.489,30.7,-1,0.677324,0.275739,0.385134,-1.0,0.409532,0.0,0.405778,0.511,0,0,-1,0.675381,0.695901,0.496377,0.698542,0,30.4,29.9,0.140743,0.061,0.698542,-1.0,0,0.841193,0.511,29.6,0.37866,61,1
2163,606000,607000,0.835806,0.890596,0.874763,0.84511,0.757865,0.84554,0.882629,0.877112,0.768649,0.866801,0.831117,0.886962,0.59084,22.1,18.8,13.2,-1.0,0.933488,0.541216,0,-1.0,0.871816,0.928571,-1.0,0,0.978553,0,0,0.854056,-1.0,-0.427576,0.576619,17.8,13,2,0.815817,0.0,0.768769,0.762312,0.532426,0.414,18.8,-1,0.844242,46.235938,0.60469,-1.0,0.60469,0.0,0.541216,0.586,0,0,-1,0.848741,0.815817,0.726984,0.768769,0,19.8,22.3,8.480899,0.014,0.796048,-1.0,0,0.376342,0.586,22.3,0.63158,14,1
191,151000,152000,0.740914,0.888349,0.916026,0.832066,0.558855,0.833257,0.886342,0.887474,0.532895,0.934717,0.740112,0.896822,0.893303,35.5,28.2,9.8,-1.0,0.949398,0.278692,0,-1.0,0.726248,0.909091,-1.0,0,-1.0,0,0,0.706025,-1.0,-1.212123,0.319304,26.7,10,5,0.733746,0.0,0.65984,0.635202,0.284678,0.0,28.7,-1,0.679357,0.501347,0.421488,-1.0,0.431875,0.0,0.234164,0.515,0,0,-1,0.730942,0.736285,0.803823,0.630359,0,33.9,36.1,0.289553,0.011,0.664934,-1.0,0,-0.007814,0.515,38.0,0.462322,11,3
2127,131000,132000,0.909606,0.940773,0.916023,0.891773,0.822258,0.891886,0.943432,0.910189,0.108962,0.844242,0.920212,0.918364,0.109235,17.4,16.6,15.2,0.065819,0.915548,0.397238,0,-16.193142,0.817548,0.153846,-15.193142,0,-1.0,0,32,0.921867,-1.0,2.603767,0.791131,16.6,6,6,0.697961,0.487179,0.646647,0.741328,0.417404,0.0,16.6,2,0.80092,378.380251,0.477739,3.21875,0.477739,0.820513,0.417404,0.755,19,0,10,0.697961,0.697961,0.655539,0.673508,0,8.4,17.6,418.947473,0.039,0.673508,2.059351,0,1.693531,0.755,17.4,0.477739,39,5
171,703000,704000,0.938925,0.940402,0.938925,0.938594,0.938925,0.938578,0.934572,0.939453,0.938679,0.934905,0.93868,0.940045,0.928273,6.2,6.2,6.4,0.005764,0.861038,0.0,0,-174.479451,0.679251,0.0,58.173478,0,0.335334,0,29,0.5,-1.0,0.0,0.0,6.2,0,2,0.5,0.666667,0.775423,0.501092,0.0,0.062,6.2,1,0.653363,0.0,0.0,2.241379,0.0,0.966667,0.0,0.938,20,0,5,0.5,0.5,0.212521,0.5,0,6.2,6.2,0.0,0.03,0.5,0.739458,0,0.0,0.938,6.2,0.0,30,1
