ID,ObjType,Effort,FunctPercent,IntComplx,DataFile,DataEn,DataOut,UFP,Lang,Tools,ToolExpr,AppExpr,TeamSize,DBMS,Method,label
253,FT,1.0,"0.10,_0.32,_0.23,_0.21,_0.00,_0.00,_0.14",5.0,4.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",5.0,"[2,3]",Oracle,3_Tier_Architecture,5
254,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[2,3]",Oracle,3_Tier_Architecture,5
255,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,4.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[2,3]",Oracle,3_Tier_Architecture,5
256,FT,1.0,"0.45,_0.29,_0.11,_0.15,_0.00,_0.00,_0.00",4.0,4.0,6.0,1.0,4.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",4.0,"[2,3]",Oracle,3_Tier_Architecture,5
257,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,4.0,4.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[2,3]",Oracle,3_Tier_Architecture,5
258,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",2.0,4.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[2,3]",Oracle,3_Tier_Architecture,5
306,FT,40.0,"0.2,_0.0,_0.3,_0.4,_0.0,_0.0,_0.1",3.0,3.0,2.0,1.0,50.0,"C#,_ASP.Net_SQL","Visual_Studio.Net_2003,_Microsoft_SQL_Server_Enterprise_Manager/Query_Analyzer",[0],2.0,"[3,5]",SQLServer,NULL,9
307,FT,40.0,"0.1,_0.8,_0.05,_0.05,_0.0,_0.0,_0.0",2.0,3.0,1.0,1.0,46.0,"C#,_ASP.Net_SQL","Visual_Studio.Net_2003,_Microsoft_SQL_Server_Enterprise_Manager/Query_Analyzer",[0],2.0,"[3,5]",SQLServer,NULL,9
308,FT,20.0,"0.0,_0.4,_0.6,_0.0,_0.0,_0.0,_0.0",3.0,1.0,2.0,4.0,66.0,"C#,_ASP.Net_SQL","Visual_Studio.Net_2003,_Microsoft_SQL_Server_Enterprise_Manager/Query_Analyzer","[0,_48]",2.0,[1],SQLServer,NULL,8
309,FT,20.0,"0.0,_0.0,_0.0,_0.0,_0.0,_0.0,_1.0",3.0,2.0,1.0,2.0,48.0,"C#,_ASP.Net_SQL","Visual_Studio.Net_2003,_Microsoft_SQL_Server_Enterprise_Manager/Query_Analyzer","[0,_48]",2.0,[1],SQLServer,NULL,8
310,FT,10.0,"0.0,_0.3,_0.4,_0.2,_0.0,_0.1,_0.0",2.0,2.0,1.0,1.0,36.0,"C#,_ASP.Net_SQL","Visual_Studio.Net_2003,_Microsoft_SQL_Server_Enterprise_Manager/Query_Analyzer",[0],2.0,[1],SQLServer,NULL,9
402,FT,8.0,"0.20,_0.10,_0.30,_0.30,_0.05,_0.05",2.0,7.0,3.0,2.0,14.0,"PHP,_SQL,_SH","Pico,_MySQLDump","[5,_100]",2.0,"[1,1]",MySQL,OO,3
403,FT,3.0,"0.20,_0.30,_0.20,_0.30",3.0,2.0,2.0,1.0,8.0,"PHP,_SQL","Dreamweaver,_Rapid_PHP,_Eclipse,_PHPMyAdmin","[4,24]",4.0,"[1,1]",MySQL,OO,3
404,FT,3.0,"0.40,_0.20,_0.10,_0.30,_0,_,",2.0,2.0,3.0,1.0,10.0,"PHP,_SQL","Dreamweaver,_Rapid_PHP,_Eclipse,_PHPMyAdmin","[2,5]",1.0,"[1,1]",MySQL,OO,3
511,FT,6.0,"0.20,_0.25,_0.20,_0.10,_0.10,_0.10,_0.00",3.0,5.0,20.0,5.0,25.0,"HTML,_PHP,_SQL","ConText,_Jedit","[2,12]",2.0,"[1,2]",NULL,NULL,8
512,FT,12.0,"0.10,_0.05,_0.25,_0.30,_0.10,_0.20,_0.00",4.0,11.0,60.0,50.0,35.0,"HTML,_PHP,_SQL","ConTEXT,_Jedit,_myAdmin","[2,12]",1.0,"[3,4]",NULL,NULL,8
513,FT,8.0,"0.15,_0.25,_0.05,_0.20,_0.15,_0.15,_0.05",1.0,4.0,30.0,12.0,20.0,"HTML,_PHP,_SQL",ConTEXT,"[0,12]",3.0,"[1,2]",NULL,NULL,8
601,FT,0.5,"0,_0,_1,_0,_0,_0,_0",1.0,0.0,0.0,0.0,1.0,"PHP,_HTML","Microsoft_Visual,_Emacs,_VIM,_Notepad","[40,60]",5.0,[1],NULL,Imperative,5
603,FT,1.0,"0,_0,_1,_0,_0,_0,_0",1.0,0.0,0.0,0.0,1.0,"PHP,_HTML",Dreamweaver,"[0,_60]",4.0,"[1,2]",NULL,Imperative,5
622,FT,24.0,1.0,2.0,3.0,2.0,1.0,6.0,"PHP,_MySql,_HTML",Dreamweaver,"[0,_60]",1.0,[1],MySQL,Imperative,5
715,FT,0.5,"0.0,_0.0,_0.2,_0.2,_0.3,_0.1,_0.2",1.0,2.0,2.0,0.0,4.0,PHP,Notepad,"[0,12]",4.0,"[1,2]",Oracle,OO,3
716,FT,0.5,"0.2,_0.2,_0.2,_0.1,_0.1,_0.1,_0.1",1.0,2.0,2.0,0.0,4.0,PHP,Notepad,"[0,12]",4.0,"[1,2]",Oracle,OO,3
717,FT,0.5,"0.05,_0.1,_0.2,_0.05,_0.2,_0.2,_0.2",1.0,2.0,1.0,0.0,4.0,PHP,Notepad,"[0,12]",4.0,"[1,2]",Oracle,OO,3
718,FT,0.5,"0.15,_0.15,_0.3,_0.1,_0.1,_0.2,_0.2",1.0,2.0,0.0,2.0,6.0,PHP,Notepad,"[0,12]",4.0,"[1,2]",Oracle,OO,3
801,FT,24.0,"0,_.3,_.3,_.4,_0,_0,_0",3.0,0.0,15.0,1.0,49.0,PHP,Emacs,"[0,_12]",4.0,"[2,_3]",MySQL,oo,5
802,FT,8.0,"0,_.3,_.3,_.4,_0,_0,_0",2.0,0.0,5.0,1.0,19.0,PHP,Emacs,"[0,_12]",4.0,"[1,_3]",MySQL,oo,5
803,FT,20.0,"0,_.3,_.3,_.4,_0,_0,_0",3.0,0.0,20.0,1.0,64.0,PHP,Emacs,"[0,_12]",4.0,"[2,_3]",MySQL,oo,5
804,FT,4.0,"0,_.4,_.3,_.3,_0,_0,_0",2.0,0.0,17.0,1.0,55.0,PHP,Emacs,"[0,_12]",4.0,"[1,_2]",MySQL,oo,5
810,FT,8.0,"0,_.3,_.3,_.4,_0,_0,_0",3.0,0.0,7.0,1.0,25.0,PHP,Emacs,"[0,_12]",4.0,"[1,_2]",MySQL,oo,5
920,FT,5.0,"0.0,_0.5,_0.0,_0.5,_0.0,_0.0,_0.0",3.0,0.0,45.0,0.0,180.0,SQL,SQL,"[0,24]",5.0,"[1,2]",Oracle,NULL,9
201,PJ,75.0,NULL,4.0,75.0,48.0,76.0,190.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_IE,_Mozilla,_Paint,_Gimp,_Word,_Adobe","[1,10]",4.0,"[4,6]",Oracle,3_Tier_Architecture,5
401,PJ,400.0,NULL,3.0,7.0,83.0,69.0,1085.0,"PHP,_SQL,_HTML","Eclipse,_MySQL,_PHPMyAdmin,_Dreamweaver,_Rapid_PHP,_Unix,_Visual_Studio_.NET","[0,60]",3.0,"[10,10]",MySQL,OO,3
501,PJ,100.0,NULL,3.0,12.0,150.0,200.0,510.0,"HTML,_PHP,_SQL","ConTEXT,_myAdmin,_DreamWeaver,_JEdit","[0,24]",2.0,"[9,9]",MySQL,JAD,8
723,PJ,70.0,"0.15,_0.2,_0.1,_0.15,_0.2,_0.2",2.0,5.0,36.0,34.0,210.0,PHP,"Notepad,MS_Word","[0,2]",4.0,"[6,12]",Oracle,OO,3
901,PJ,69.0,"0.10,_0.25,_0.25,_0.25,_0.05,_0.10,_0.00",3.0,12.0,186.0,108.0,1714.0,"HTML,_PHP,_Javascript,_SQL","Dreamweaver,_Emacs,_PHPUnit,_Photoshop,_FrontPage,_Oracle","[2,_12]",3.0,"[10,_10]",Oracle,OO,8
103,RQ,2.5,"0.10,0.30,0.30,0.20,0.00,0.00,0.10",3.0,5.0,4.0,2.0,10.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
104,RQ,2.5,"0.10,0.30,0.30,0.20,0.00,0.00,0.10",3.0,5.0,4.0,2.0,10.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
105,RQ,2.0,"0.15,_0.05,_0.1,_0.35,_0.1,_0.2,_0.05",3.0,4.0,0.0,9.0,10.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
106,RQ,1.5,"0.05,_0.3,_0.2,_0.2,_0.05,_0.15,_0.05",3.0,3.0,7.0,4.0,11.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
107,RQ,2.0,"0.10,0.30,0.05,0.35,0.00,0.00,0.00",2.0,3.0,3.0,2.0,4.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
108,RQ,2.5,"0.10,0.30,0.30,0.20,0.00,0.00,0.10",4.0,6.0,6.0,2.0,5.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
109,RQ,2.5,"0.05,_0.3,_0.2,_0.2,_0.05,_0.15,_0.05",3.0,4.0,4.0,4.0,2.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
110,RQ,2.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",1.0,9.0,15.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
111,RQ,1.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",1.0,9.0,15.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
112,RQ,1.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",1.0,9.0,15.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
113,RQ,0.5,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",1.0,9.0,15.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
203,RQ,7.0,"0.13,_0.42,_0.10,_0.15,_0.00,_0.06,_0.04",3.0,8.0,1.0,1.0,14.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[2,3]",Oracle,3_Tier_Architecture,5
205,RQ,5.0,"0.16,_0.39,_0.07,_0.28,_0.00,_0.06,_0.04",3.0,8.0,4.0,1.0,14.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[2,3]",Oracle,3_Tier_Architecture,5
207,RQ,15.0,"0.10,_0.34,_0.26,_0.18,_0.00,_0.02,_0.05",3.0,3.0,1.0,1.0,6.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[1,2]",Oracle,3_Tier_Architecture,5
209,RQ,2.0,"0.10,_0.34,_0.26,_0.18,_0.00,_0.02,_0.05",3.0,2.0,3.0,1.0,4.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,5
213,RQ,8.0,"0.21,_0.21,_0.10,_0.30,_0.00,_0.05,_0.02",3.0,3.0,2.0,1.0,8.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,5
215,RQ,2.0,"0.35,_0.15,_0.18,_0.22,_0.02,_0.07,_0.01",1.0,2.0,1.0,1.0,7.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,8
216,RQ,2.0,"0.36,_0.06,_0.26,_0.25,_0.04,_0.05,_0.02",1.0,2.0,1.0,1.0,7.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,8
217,RQ,11.0,"0.43,_0.17,_0.26,_0.10,_0.00,_0.00,_0.04",4.0,5.0,9.0,1.0,8.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[2,3]",Oracle,3_Tier_Architecture,5
221,RQ,11.0,"0.43,_0.17,_0.26,_0.10,_0.00,_0.00,_0.04",4.0,5.0,11.0,1.0,8.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[2,3]",Oracle,3_Tier_Architecture,5
226,RQ,5.0,"0.21,_0.34,_0.06,_0.19,_0.03,_0.01,_0.07",2.0,3.0,2.0,6.0,7.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,8
227,RQ,3.0,"0.21,_0.34,_0.06,_0.19,_0.03,_0.01,_0.07",2.0,3.0,2.0,6.0,8.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,8
228,RQ,3.0,"0.21,_0.34,_0.06,_0.19,_0.03,_0.01,_0.07",3.0,4.0,1.0,4.0,7.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,8
229,RQ,2.0,"0.31,_0.39,_0.10,_0.20,_0.00,_0.00,_0.00",3.0,3.0,9.0,1.0,8.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[2,3]",Oracle,3_Tier_Architecture,5
233,RQ,2.0,"0.31,_0.39,_0.10,_0.20,_0.00,_0.00,_0.00",3.0,3.0,11.0,1.0,5.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[2,3]",Oracle,3_Tier_Architecture,5
238,RQ,2.0,"0.32,_0.19,_0.14,_0.25,_0.05,_0.03,_0.02",2.0,2.0,4.0,1.0,5.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[2,3]",Oracle,3_Tier_Architecture,5
240,RQ,2.0,"0.32,_0.19,_0.14,_0.25,_0.05,_0.03,_0.02",3.0,2.0,4.0,1.0,5.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[2,3]",Oracle,3_Tier_Architecture,5
244,RQ,3.0,"0.36,_0.24,_0.35,_0.05,_0.00,_0.00,_0.00",2.0,3.0,1.0,5.0,17.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[2,3]",Oracle,3_Tier_Architecture,8
249,RQ,20.0,"0.37,_0.29,_0.23,_0.11,_0.00,_0.00,_0.00",5.0,4.0,10.0,3.0,27.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",5.0,"[2,3]",Oracle,3_Tier_Architecture,5
259,RQ,5.0,"0.45,_0.29,_0.11,_0.15,_0.00,_0.00,_0.00",3.0,8.0,2.0,2.0,5.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[3,4]",Oracle,3_Tier_Architecture,8
